GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
bc5c877f-ad2a-443c-8092-77588c3f110f,1,38e0e540-e937-11ee-bdc3-97fbbc49824f,b65ddf7c-af4e-47a5-958e-2c7e588d8eb5,2024-03-23,13:03:07.58,2024-03-23,17:03:07.58,2024-03-23T13:03:07.5800542-04:00,2024-03-23T17:03:07.5800542Z,CEN_COL,OGL_UNI,StrikeCalled,Undefined,NoShift,99.96589,72.00761,,,91.30093,-64.73475,148.00901,-45.64361,278.31162,-134.91918,336.70553,-0.21672,283.40894,153.85202,,,,,,,,,,,,,,,true
bc5c877f-ad2a-443c-8092-77588c3f110f,2,40a4f690-e937-11ee-bdc3-97fbbc49824f,3245299d-255d-49ad-89f6-8a9e14c9603f,2024-03-23,13:03:20.60,2024-03-23,17:03:20.60,2024-03-23T13:03:20.6012894-04:00,2024-03-23T17:03:20.6012894Z,CEN_COL,OGL_UNI,StrikeCalled,Undefined,NoShift,99.50575,73.58594,147.10343,47.67036,95.54858,-70.32502,147.64436,-48.45374,274.05157,-134.31839,347.3111,-2.06915,279.14532,152.80806,,,,,,,,,,,,,,,true
bc5c877f-ad2a-443c-8092-77588c3f110f,3,481f2da0-e937-11ee-bdc3-97fbbc49824f,e4ef24b6-05a7-4d37-8b39-9c789d97ffd3,2024-03-23,13:03:33.09,2024-03-23,17:03:33.09,2024-03-23T13:03:33.0958302-04:00,2024-03-23T17:03:33.0958302Z,CEN_COL,OGL_UNI,BallCalled,Undefined,NoShift,100.32363,81.01092,,,98.1844,-73.39316,148.12548,-47.03493,279.44094,-136.61156,349.01492,2.28222,271.0202,159.84028,,,,,,,,,,,,,,,true
bc5c877f-ad2a-443c-8092-77588c3f110f,4,502db570-e937-11ee-bdc3-97fbbc49824f,b01307d6-609a-44be-97b1-2f5d082c1548,2024-03-23,13:03:46.55,2024-03-23,17:03:46.55,2024-03-23T13:03:46.5514462-04:00,2024-03-23T17:03:46.5514462Z,CEN_COL,OGL_UNI,StrikeCalled,Undefined,NoShift,98.08523,78.97871,,,98.22665,-74.11816,147.87591,-47.60049,276.07345,-135.67102,346.20534,11.84317,268.07177,160.20912,,,,,,,,,,,,,,,true
bc5c877f-ad2a-443c-8092-77588c3f110f,5,5e876a30-e937-11ee-bdc3-97fbbc49824f,1b5d424a-6f71-4b7d-91b2-a2bae2b7205d,2024-03-23,13:04:10.72,2024-03-23,17:04:10.72,2024-03-23T13:04:10.7229662-04:00,2024-03-23T17:04:10.7229662Z,CEN_COL,OGL_UNI,BallCalled,Undefined,NoShift,104.99086,77.46864,144.86177,54.92923,81.80812,-55.35199,149.8794,-36.73858,274.69335,-136.54722,343.52472,-1.4302,282.19875,155.46127,,,,,,,,,,,,,,,true
bc5c877f-ad2a-443c-8092-77588c3f110f,6,660f5ce0-e937-11ee-bdc3-97fbbc49824f,4457b1b1-3d94-46db-bc78-be07e12e87b7,2024-03-23,13:04:23.31,2024-03-23,17:04:23.31,2024-03-23T13:04:23.3192414-04:00,2024-03-23T17:04:23.3192414Z,CEN_COL,OGL_UNI,BallCalled,Undefined,NoShift,103.796,77.81226,144.73034,53.68121,77.69941,-53.01108,149.26936,-35.49189,274.83458,-136.84475,352.21521,-0.23822,279.96313,154.44597,,,,,,,,,,,,,,,true
bc5c877f-ad2a-443c-8092-77588c3f110f,7,6cba8420-e937-11ee-bdc3-97fbbc49824f,4be06bee-68ec-494f-bee5-03ba4ba23cf1,2024-03-23,13:04:34.56,2024-03-23,17:04:34.56,2024-03-23T13:04:34.5692126-04:00,2024-03-23T17:04:34.5692126Z,CEN_COL,OGL_UNI,InPlay,Single,NoShift,103.05475,76.37342,144.28433,52.73631,74.21448,-51.57697,149.06824,-41.36935,275.6425,-136.66299,346.05273,-0.40937,277.54979,153.18356,,,,,,,,,,,,,,,true
bc5c877f-ad2a-443c-8092-77588c3f110f,8,81786c10-e937-11ee-bdc3-97fbbc49824f,89adb65f-e4cf-49ec-99ab-2daca16db8f5,2024-03-23,13:05:09.35,2024-03-23,17:05:09.35,2024-03-23T13:05:09.3583326-04:00,2024-03-23T17:05:09.3583326Z,CEN_COL,OGL_UNI,BallCalled,Undefined,NoShift,63.59734,57.47802,145.91796,26.75257,76.81113,-54.02423,148.47712,-25.35005,273.49714,-135.6294,351.95083,4.12116,280.93831,157.13843,,,,,,,,,,,,,,,true
bc5c877f-ad2a-443c-8092-77588c3f110f,9,8aba1cb0-e937-11ee-bdc3-97fbbc49824f,b3ef3b79-0abd-40eb-8ca9-a5b98dcf1d2b,2024-03-23,13:05:24.91,2024-03-23,17:05:24.91,2024-03-23T13:05:24.9137630-04:00,2024-03-23T17:05:24.9137630Z,CEN_COL,OGL_UNI,FoulBallNotFieldable,Undefined,NoShift,63.992,57.73537,144.44638,26.61867,75.89689,-53.28002,148.76247,-23.23459,275.31057,-137.42441,345.55911,3.74844,279.05116,153.62544,,,,,,,,,,,,,,,true
bc5c877f-ad2a-443c-8092-77588c3f110f,10,9d2a9230-e937-11ee-bdc3-97fbbc49824f,13f3179d-0f45-491d-9312-e3caf3a629e4,2024-03-23,13:05:55.79,2024-03-23,17:05:55.79,2024-03-23T13:05:55.7961182-04:00,2024-03-23T17:05:55.7961182Z,CEN_COL,OGL_UNI,BallCalled,Undefined,NoShift,63.73224,58.26567,144.30232,30.28763,75.86913,-52.57748,149.99431,-24.49826,274.01737,-135.9164,346.50685,1.78124,277.4696,155.92944,,,,,,,,,,,,,,,true
