GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
42b9a118-df93-4d69-a61f-9ba0eb26f848,1,a08b38a0-e953-11ee-a62f-0167d270973e,4ac9ded8-a271-4855-abde-f93144ad0253,2024-03-23,16:26:27.69,2024-03-23,20:26:27.69,2024-03-23T16:26:27.6955276-04:00,2024-03-23T20:26:27.6955276Z,CEN_COL,OGL_UNI,BallCalled,Undefined,NoShift,95.56265,70.20156,145.418,46.08416,73.8876,-49.69838,147.28494,-35.7248,270.85388,-132.21781,326.79633,3.58446,281.31932,157.54534,,,,,,,,,,,,,,,true
42b9a118-df93-4d69-a61f-9ba0eb26f848,2,a8a3d290-e953-11ee-a62f-0167d270973e,c41b0a44-2841-4c0f-88e9-a054df208e84,2024-03-23,16:26:41.31,2024-03-23,20:26:41.31,2024-03-23T16:26:41.3103756-04:00,2024-03-23T20:26:41.3103756Z,CEN_COL,OGL_UNI,BallCalled,Undefined,NoShift,97.0685,71.93656,143.80918,45.83587,73.96298,-49.62646,148.92203,-33.65901,268.98344,-132.1634,327.97112,3.28502,276.4785,155.4437,,,,,,,,,,,,,,,true
42b9a118-df93-4d69-a61f-9ba0eb26f848,3,b2446c10-e953-11ee-a62f-0167d270973e,fc7fd10d-981a-48fb-991b-eabd4352ac32,2024-03-23,16:26:57.50,2024-03-23,20:26:57.50,2024-03-23T16:26:57.5031436-04:00,2024-03-23T20:26:57.5031436Z,CEN_COL,OGL_UNI,FoulBallNotFieldable,Undefined,NoShift,95.32828,71.27696,144.79097,47.25769,75.12013,-50.43479,152.28238,-34.86176,268.29527,-132.29475,326.74884,4.51538,275.63974,155.08801,,,,,,,,,,,,,,,true
42b9a118-df93-4d69-a61f-9ba0eb26f848,4,bc0c3ca0-e953-11ee-a62f-0167d270973e,e8788ed0-dade-40ec-827a-388d1357655f,2024-03-23,16:27:13.83,2024-03-23,20:27:13.83,2024-03-23T16:27:13.8300556-04:00,2024-03-23T20:27:13.8300556Z,CEN_COL,OGL_UNI,StrikeSwinging,Undefined,NoShift,96.06491,72.10887,145.87598,47.34753,74.60712,-51.87735,147.97824,-38.80532,265.25985,-137.05343,330.13521,3.51862,275.84901,153.70963,,,,,,,,,,,,,,,true
42b9a118-df93-4d69-a61f-9ba0eb26f848,5,c57c9e60-e953-11ee-a62f-0167d270973e,8698960c-4eda-4661-ac8d-92e83a2c31e4,2024-03-23,16:27:29.68,2024-03-23,20:27:29.68,2024-03-23T16:27:29.6856204-04:00,2024-03-23T20:27:29.6856204Z,CEN_COL,OGL_UNI,FoulBallNotFieldable,Undefined,NoShift,100.37605,75.65527,143.91699,47.34504,97.87834,-67.78737,147.18538,-41.06254,271.84423,-135.49431,327.92142,2.09293,281.88833,157.85951,,,,,,,,,,,,,,,true
42b9a118-df93-4d69-a61f-9ba0eb26f848,6,d0129460-e953-11ee-a62f-0167d270973e,a785fdcc-70d2-4e56-b4c2-e94979aa7fe1,2024-03-23,16:27:47.38,2024-03-23,20:27:47.38,2024-03-23T16:27:47.3823372-04:00,2024-03-23T20:27:47.3823372Z,CEN_COL,OGL_UNI,BallCalled,Undefined,NoShift,99.85097,80.41504,143.77707,54.61928,99.86283,-68.81594,147.19246,-41.15208,267.72342,-133.83857,329.58869,2.92879,281.35487,158.96228,,,,,,,,,,,,,,,true
42b9a118-df93-4d69-a61f-9ba0eb26f848,7,d9ecdb80-e953-11ee-a62f-0167d270973e,444e64fb-1333-42bb-baba-8ef1cde692e0,2024-03-23,16:28:03.92,2024-03-23,20:28:03.92,2024-03-23T16:28:03.9293068-04:00,2024-03-23T20:28:03.9293068Z,CEN_COL,OGL_UNI,BallCalled,Undefined,NoShift,98.82549,75.57863,142.86873,51.60075,101.57555,-69.89135,148.66917,-37.67813,268.85254,-134.72589,325.99247,3.45302,277.62615,156.73173,,,,,,,,,,,,,,,true
42b9a118-df93-4d69-a61f-9ba0eb26f848,8,e995cc90-e953-11ee-a62f-0167d270973e,f7ff6815-f3db-4987-b957-27e3598167a8,2024-03-23,16:28:30.23,2024-03-23,20:28:30.23,2024-03-23T16:28:30.2353036-04:00,2024-03-23T20:28:30.2353036Z,CEN_COL,OGL_UNI,StrikeCalled,Undefined,NoShift,62.40535,58.09906,143.89924,28.16295,78.13499,-56.16735,149.41342,-25.99592,271.7274,-133.99027,330.04821,3.52398,274.24163,156.92665,,,,,,,,,,,,,,,true
42b9a118-df93-4d69-a61f-9ba0eb26f848,9,f3397350-e953-11ee-a62f-0167d270973e,70f0725f-f968-404f-95f3-05dc50d662f5,2024-03-23,16:28:46.34,2024-03-23,20:28:46.34,2024-03-23T16:28:46.3486092-04:00,2024-03-23T20:28:46.3486092Z,CEN_COL,OGL_UNI,InPlay,Out,NoShift,65.13551,57.24286,143.17841,27.43648,79.30313,-57.29057,149.98451,-24.80769,271.7932,-134.35473,325.95433,3.53375,267.45136,154.69829,,,,,,,,,,,,,,,true
42b9a118-df93-4d69-a61f-9ba0eb26f848,10,0492d380-e954-11ee-a62f-0167d270973e,1c3eecc0-96a7-48d6-9be7-72af55ae1038,2024-03-23,16:29:15.51,2024-03-23,20:29:15.51,2024-03-23T16:29:15.5105932-04:00,2024-03-23T20:29:15.5105932Z,CEN_COL,OGL_UNI,StrikeSwinging,Undefined,NoShift,65.30136,57.67613,142.71365,32.97936,84.26793,-63.20738,147.44385,-24.44241,272.11513,-133.59166,328.69989,5.70046,262.69631,155.21125,,,,,,,,,,,,,,,true
