GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
127ad410-ff02-4c4e-b23e-54d5384c1758,1,34306730-04af-11ef-a487-bb1091214b2a,99f94a52-40bf-496a-b8c6-3040c6b992ca,2024-04-27,12:00:00.69,2024-04-27,16:00:00.69,2024-04-27T12:00:00.6989994-04:00,2024-04-27T16:00:00.6989994Z,CEN_COL,MIL_COL,StrikeCalled,Undefined,NoShift,88.78213,61.68912,150.68506,37.9208,75.25637,-54.16039,146.20913,-51.07604,275.29117,-148.08337,348.92861,-13.0293,276.26371,154.87292,,,,,,,,,,,,,,,true
127ad410-ff02-4c4e-b23e-54d5384c1758,2,3bd5a5e0-04af-11ef-a487-bb1091214b2a,bb284e65-8db6-40da-bdcb-02a4f724a709,2024-04-27,12:00:13.39,2024-04-27,16:00:13.39,2024-04-27T12:00:13.3934250-04:00,2024-04-27T16:00:13.3934250Z,CEN_COL,MIL_COL,BallCalled,Undefined,NoShift,93.12188,65.63778,152.9079,38.22504,78.10644,-57.35998,146.63507,-49.28248,272.57764,-146.56394,343.03905,-11.57325,275.65298,154.43017,,,,,,,,,,,,,,,true
127ad410-ff02-4c4e-b23e-54d5384c1758,3,42f93170-04af-11ef-a487-bb1091214b2a,c0c532de-690d-4e3a-81d3-7e11e71e215f,2024-04-27,12:00:25.43,2024-04-27,16:00:25.43,2024-04-27T12:00:25.4362282-04:00,2024-04-27T16:00:25.4362282Z,CEN_COL,MIL_COL,InPlay,Out,NoShift,95.40176,68.01227,148.23822,38.90665,79.3698,-60.72066,146.19108,-49.37242,273.31124,-146.91302,339.06782,-11.38234,263.98711,144.29492,,,,,,,,,,,,,,,true
127ad410-ff02-4c4e-b23e-54d5384c1758,4,51fd2ff0-04af-11ef-a487-bb1091214b2a,17e63556-7727-493d-b535-1924761a4135,2024-04-27,12:00:50.66,2024-04-27,16:00:50.66,2024-04-27T12:00:50.6683562-04:00,2024-04-27T16:00:50.6683562Z,CEN_COL,MIL_COL,FoulBallNotFieldable,Undefined,NoShift,97.41118,85.836,158.40201,75.14163,73.39334,-51.17502,153.82756,-20.55055,283.27855,-142.46347,342.69366,3.56342,271.41403,156.09651,,,,,,,,,,,,,,,true
127ad410-ff02-4c4e-b23e-54d5384c1758,5,5ae2dde0-04af-11ef-a487-bb1091214b2a,806ba9c9-8b9f-408c-a75d-ef23fc3b6307,2024-04-27,12:01:05.50,2024-04-27,16:01:05.50,2024-04-27T12:01:05.5065258-04:00,2024-04-27T16:01:05.5065258Z,CEN_COL,MIL_COL,InPlay,Out,NoShift,97.33177,86.74732,153.43799,74.66212,76.15247,-51.76594,157.45398,-21.18221,283.99446,-143.51124,346.0504,2.179,263.60032,154.04082,,,,,,,,,,,,,,,true
127ad410-ff02-4c4e-b23e-54d5384c1758,6,6de189a0-04af-11ef-a487-bb1091214b2a,11a3e549-095b-44c5-ad04-bc0f5f1b4b9f,2024-04-27,12:01:37.40,2024-04-27,16:01:37.40,2024-04-27T12:01:37.4093994-04:00,2024-04-27T16:01:37.4093994Z,CEN_COL,MIL_COL,HitByPitch,Undefined,LeftInfieldShift,96.36108,53.04642,158.47025,-14.61599,91.22637,-75.46176,139.50264,-67.46403,290.61505,-151.52785,360.54222,-16.7158,280.98455,146.27016,,,,,,,,,,,,,,,true
127ad410-ff02-4c4e-b23e-54d5384c1758,7,963183b0-04af-11ef-a487-bb1091214b2a,,,,,,,,CEN_COL,MIL_COL,InPlay,Out,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false
127ad410-ff02-4c4e-b23e-54d5384c1758,8,f2bd60e0-04af-11ef-a487-bb1091214b2a,d76e59d2-ae5c-4c37-8b44-9a223f6370aa,2024-04-27,12:05:20.45,2024-04-27,16:05:20.45,2024-04-27T12:05:20.4524202-04:00,2024-04-27T16:05:20.4524202Z,MIL_COL,CEN_COL,InPlay,Out,NoShift,99.02201,76.45519,146.72074,46.29093,71.57729,-51.66847,132.32891,-47.79463,272.31977,-139.14169,339.53009,-1.48576,258.96635,144.30107,,,,,,,,,,,,,,,true
127ad410-ff02-4c4e-b23e-54d5384c1758,9,0915e600-04b0-11ef-a487-bb1091214b2a,a83327b9-3f08-4d5c-829f-f729fd4a3798,2024-04-27,12:05:57.84,2024-04-27,16:05:57.84,2024-04-27T12:05:57.8475178-04:00,2024-04-27T16:05:57.8475178Z,MIL_COL,CEN_COL,BallCalled,Undefined,NoShift,100.01921,78.53828,144.00884,46.27959,83.5873,-64.82385,132.20087,-50.62511,278.65699,-145.20924,331.93182,-4.99317,247.43879,135.46254,,,,,,,,,,,,,,,true
127ad410-ff02-4c4e-b23e-54d5384c1758,10,1da48090-04b0-11ef-a487-bb1091214b2a,e3739ff1-631d-45ad-af1d-1c873e1b8d19,2024-04-27,12:06:32.30,2024-04-27,16:06:32.30,2024-04-27T12:06:32.3073194-04:00,2024-04-27T16:06:32.3073194Z,MIL_COL,CEN_COL,StrikeCalled,Undefined,NoShift,100.97219,79.07538,145.60944,47.06819,84.50469,-65.15094,131.39252,-50.69504,274.9461,-150.68576,324.73445,-2.69096,256.87547,138.30033,,,,,,,,,,,,,,,true
127ad410-ff02-4c4e-b23e-54d5384c1758,11,27f4e210-04b0-11ef-a487-bb1091214b2a,450bf184-9280-47c4-9b8d-9f20b6254866,2024-04-27,12:06:49.56,2024-04-27,16:06:49.56,2024-04-27T12:06:49.5623850-04:00,2024-04-27T16:06:49.5623850Z,MIL_COL,CEN_COL,InPlay,Single,NoShift,98.49383,77.87953,145.52901,47.58463,85.07527,-66.79541,131.09964,-50.6132,277.4289,-150.84021,333.11757,-2.90559,253.47467,138.66699,,,,,,,,,,,,,,,true
127ad410-ff02-4c4e-b23e-54d5384c1758,12,4262c860-04b0-11ef-a487-bb1091214b2a,adf38145-1975-46dc-806d-450a59e744b7,2024-04-27,12:07:33.94,2024-04-27,16:07:33.94,2024-04-27T12:07:33.9490474-04:00,2024-04-27T16:07:33.9490474Z,MIL_COL,CEN_COL,StrikeCalled,Undefined,NoShift,63.26298,59.40173,137.68041,30.44443,79.89854,-60.02966,137.88959,-36.76722,272.48041,-146.99594,328.71382,-3.93833,245.33767,138.38363,,,,,,,,,,,,,,,true
127ad410-ff02-4c4e-b23e-54d5384c1758,13,50b81050-04b0-11ef-a487-bb1091214b2a,6d7054ec-2ac5-4eb6-93fe-6308673a85f3,2024-04-27,12:07:58.08,2024-04-27,16:07:58.08,2024-04-27T12:07:58.0860586-04:00,2024-04-27T16:07:58.0860586Z,MIL_COL,CEN_COL,BallCalled,Undefined,NoShift,63.24638,60.00598,137.21174,29.4597,79.87412,-59.74465,136.50953,-35.4163,289.42022,-153.61559,330.90709,-3.04407,250.02452,140.34056,,,,,,,,,,,,,,,true
127ad410-ff02-4c4e-b23e-54d5384c1758,14,60355d80-04b0-11ef-a487-bb1091214b2a,b3c710fc-1a12-4b08-981a-1e6fd8a9786f,2024-04-27,12:08:23.97,2024-04-27,16:08:23.97,2024-04-27T12:08:23.9749802-04:00,2024-04-27T16:08:23.9749802Z,MIL_COL,CEN_COL,InPlay,Out,NoShift,65.21861,61.12562,138.19788,28.96967,80.8661,-60.56112,136.24527,-34.47756,276.15337,-147.77269,331.14008,-1.97291,248.61161,139.02081,,,,,,,,,,,,,,,true
127ad410-ff02-4c4e-b23e-54d5384c1758,15,784d1ed0-04b0-11ef-a487-bb1091214b2a,f195a459-aa24-4739-afb1-5ddacc21d949,2024-04-27,12:09:04.39,2024-04-27,16:09:04.39,2024-04-27T12:09:04.3937962-04:00,2024-04-27T16:09:04.3937962Z,MIL_COL,CEN_COL,BallCalled,Undefined,NoShift,99.88791,81.08851,144.33284,50.00077,80.89245,-59.94544,148.99825,-24.82191,249.42433,-150.46538,329.75049,-2.10599,260.33514,143.86446,,,,,,,,,,,,,,,true
127ad410-ff02-4c4e-b23e-54d5384c1758,16,854f32d0-04b0-11ef-a487-bb1091214b2a,b0e2c12c-6311-465b-9972-3e53fa46d7b4,2024-04-27,12:09:26.32,2024-04-27,16:09:26.32,2024-04-27T12:09:26.3294122-04:00,2024-04-27T16:09:26.3294122Z,MIL_COL,CEN_COL,BallCalled,Undefined,NoShift,100.67911,80.51804,145.15167,51.21405,80.76987,-61.11736,145.03157,-20.14901,248.91084,-150.31398,325.10811,-1.42901,260.87284,145.07343,,,,,,,,,,,,,,,true
127ad410-ff02-4c4e-b23e-54d5384c1758,17,934766a0-04b0-11ef-a487-bb1091214b2a,9d80bb84-cb27-4adc-b9d7-2130f815e2cb,2024-04-27,12:09:49.85,2024-04-27,16:09:49.85,2024-04-27T12:09:49.8584234-04:00,2024-04-27T16:09:49.8584234Z,MIL_COL,CEN_COL,BallCalled,Undefined,NoShift,99.50713,79.50391,142.39053,50.93965,81.1979,-61.01745,163.72679,-23.23534,248.17374,-150.06504,332.6385,-1.30575,255.52673,143.58909,,,,,,,,,,,,,,,true
127ad410-ff02-4c4e-b23e-54d5384c1758,18,9d4b2ec0-04b0-11ef-a487-bb1091214b2a,b221e4ec-4640-4e2a-ade0-89f9979a9cc3,2024-04-27,12:10:06.62,2024-04-27,16:10:06.62,2024-04-27T12:10:06.6292394-04:00,2024-04-27T16:10:06.6292394Z,MIL_COL,CEN_COL,StrikeCalled,Undefined,NoShift,101.93951,81.95331,145.61758,50.81394,80.68881,-60.88476,145.46617,-18.77406,244.99641,-150.69855,325.77482,-0.94455,258.56402,145.38291,,,,,,,,,,,,,,,true
127ad410-ff02-4c4e-b23e-54d5384c1758,19,ad39b450-04b0-11ef-a487-bb1091214b2a,e0f1d197-0615-4b4e-bd7d-6028138a5917,2024-04-27,12:10:33.38,2024-04-27,16:10:33.38,2024-04-27T12:10:33.3819562-04:00,2024-04-27T16:10:33.3819562Z,MIL_COL,CEN_COL,FoulBallNotFieldable,Undefined,NoShift,101.12929,81.03816,146.34762,53.55297,81.87452,-60.3576,145.59652,-19.91375,249.74336,-153.2281,328.16022,-1.17711,265.31546,147.53036,,,,,,,,,,,,,,,true
127ad410-ff02-4c4e-b23e-54d5384c1758,20,bd1bddd0-04b0-11ef-a487-bb1091214b2a,ee842fa4-c556-490b-b447-ccef7d7e97c6,2024-04-27,12:10:59.93,2024-04-27,16:10:59.93,2024-04-27T12:10:59.9399594-04:00,2024-04-27T16:10:59.9399594Z,MIL_COL,CEN_COL,InPlay,Out,NoShift,101.18521,81.14961,145.38403,50.42851,81.53234,-61.18992,147.76909,-24.50201,247.45376,-149.47273,322.25331,-0.49122,263.47575,147.27106,,,,,,,,,,,,,,,true
127ad410-ff02-4c4e-b23e-54d5384c1758,21,06273510-04b1-11ef-a487-bb1091214b2a,e05b03f0-a375-4f91-8099-17c2e7f426be,2024-04-27,12:13:02.50,2024-04-27,16:13:02.50,2024-04-27T12:13:02.5078954-04:00,2024-04-27T16:13:02.5078954Z,CEN_COL,MIL_COL,InPlay,Out,NoShift,100.47351,75.11025,151.2686,41.24878,94.6662,-73.69967,149.4893,-44.71539,281.40554,-142.79132,360.81937,-12.02423,277.52996,152.13462,,,,,,,,,,,,,,,true
127ad410-ff02-4c4e-b23e-54d5384c1758,22,179a85e0-04b1-11ef-a487-bb1091214b2a,09f9dd2b-fa10-47ce-a8ec-dec070a5246a,2024-04-27,12:13:31.73,2024-04-27,16:13:31.73,2024-04-27T12:13:31.7383338-04:00,2024-04-27T16:13:31.7383338Z,CEN_COL,MIL_COL,InPlay,Out,NoShift,95.96,70.93539,148.30708,39.2806,80.38378,-61.59055,148.12118,-47.49734,274.39396,-139.39941,358.67637,-7.91448,271.50369,148.43301,,,,,,,,,,,,,,,true
127ad410-ff02-4c4e-b23e-54d5384c1758,23,27182130-04b1-11ef-a487-bb1091214b2a,90630dda-a6ff-40da-85fa-f10eea4c88b6,2024-04-27,12:13:57.89,2024-04-27,16:13:57.89,2024-04-27T12:13:57.8940586-04:00,2024-04-27T16:13:57.8940586Z,CEN_COL,MIL_COL,StrikeCalled,Undefined,NoShift,87.10085,60.73712,147.58774,45.26241,72.59268,-53.06578,146.81455,-48.62909,286.88019,-147.1416,341.51788,-4.46379,265.46411,146.51228,,,,,,,,,,,,,,,true
