PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-04-27,12:00:00.69,1,1,"Morgan, Luc",1000126728,Right,CEN_COL,"Bounds, Branyan",1000229859,Right,MIL_COL,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.03732,-0.617044,-3.881986,1994.353682,224.865928,1:30,5.14322,2.1978,5.88058,-22.78863,16.17686,14.79111,2.66981,-0.18014,77.2354,-4.919912,-1.235621,0.449274,,,,,,,,,,,,-8.63437,8.83063,-1.89225,50,5.08019,7.74605,-123.19343,-2.00481,-13.20518,25.57698,-18.66875,CEN_COL,MIL_COL,GaryWright,D3,Team,20240427-GaryWright-1,34306730-04af-11ef-a487-bb1091214b2a,83.8963,,,7.80192,,,,,,,127ad410-ff02-4c4e-b23e-54d5384c1758,2024-04-27,16:00:00.69,2024-04-27T12:00:00.6989994-04:00,2024-04-27T16:00:00.6989994Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,99f94a52-40bf-496a-b8c6-3040c6b992ca,54.61426,-124.14773,12.78849,5.142,-1.30827,-9.33438,-2.19045,8.23875,-6.60259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-04-27,12:00:13.39,1,2,"Morgan, Luc",1000126728,Right,CEN_COL,"Bounds, Branyan",1000229859,Right,MIL_COL,Undefined,1,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.27127,1.246008,-3.697744,2120.13836,57.445523,8:00,5.01323,2.13286,5.42151,-50.63412,-2.3026,-6.19126,1.96343,-1.85143,70.31902,-7.988115,-4.795568,0.500365,,,,,,,,,,,,1.93591,-0.99902,-1.79999,50,5.08927,7.47202,-111.82523,0.73371,2.42212,22.40929,-33.42396,CEN_COL,MIL_COL,GaryWright,D3,Team,20240427-GaryWright-1,3bd5a5e0-04af-11ef-a487-bb1091214b2a,75.32996,,,6.95225,,,,,,,127ad410-ff02-4c4e-b23e-54d5384c1758,2024-04-27,16:00:13.39,2024-04-27T12:00:13.3934250-04:00,2024-04-27T16:00:13.3934250Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,bb284e65-8db6-40da-bdcb-02a4f724a709,55.07431,-112.83751,11.20465,5.02202,2.24356,-16.71198,-2.13505,7.3626,1.21106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-04-27,12:00:25.43,1,3,"Morgan, Luc",1000126728,Right,CEN_COL,"Bounds, Branyan",1000229859,Right,MIL_COL,Undefined,1,Top,0,1,1,Fastball,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,84.6849,-0.217701,-3.917184,1966.033991,230.182903,1:45,5.03275,2.18549,5.82895,-24.42257,14.96379,16.34788,2.7947,-0.09909,76.85204,-4.813998,-0.995026,0.451694,81.80808,45.949666,2.732987,,109.78297,96.8463,6.90087,264.46124,261.78621,4.591753,5.308639,-9.52064,8.09599,-1.87515,50,5.00067,7.74053,-122.69914,-1.21118,-14.42512,25.66662,-19.90746,CEN_COL,MIL_COL,GaryWright,D3,Team,20240427-GaryWright-1,42f93170-04af-11ef-a487-bb1091214b2a,83.44685,106.63943,,7.83286,,,,0.91578,2.85627,0.11453,127ad410-ff02-4c4e-b23e-54d5384c1758,2024-04-27,16:00:25.43,2024-04-27T12:00:25.4362282-04:00,2024-04-27T16:00:25.4362282Z,FlyBall,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,c0c532de-690d-4e3a-81d3-7e11e71e215f,54.66781,-123.67171,12.83331,5.03227,-0.45683,-9.95373,-2.17882,8.28713,-7.21256,183.016286,0.91991,83.24267,-17.79175,4.29635,-0.48495,-0.04951,0.02513,-0.00317,0.00014,2.85566,86.24169,-20.43546,1.32226,-0.08012,-0.05386,0.022,-0.00335,0.00018,0.11446,3.97888,-0.10794,0.05688,-0.01489,0.00222,-9E-05,-2E-05,0,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
4,2024-04-27,12:00:50.66,2,1,"Morgan, Luc",1000126728,Right,CEN_COL,"Pelle, Bradley",1000229787,Left,MIL_COL,Undefined,1,Top,1,0,0,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.23191,-0.331832,-3.522369,1955.224488,229.801388,1:45,5.13752,2.17843,5.66892,-21.50635,15.64473,17.08603,3.03536,0.31406,79.46852,-4.37518,-0.475378,0.438689,69.2525,29.018311,-153.518974,2574.343343,,,,,29.18785,,,-9.68441,8.3954,-1.89185,50,5.09608,7.06179,-126.47619,-1.41623,-15.66484,26.13184,-18.59424,CEN_COL,MIL_COL,GaryWright,D3,Team,20240427-GaryWright-1,51fd2ff0-04af-11ef-a487-bb1091214b2a,85.92057,16.28796,,7.76339,,,,0.13389,2.91576,-0.26594,127ad410-ff02-4c4e-b23e-54d5384c1758,2024-04-27,16:00:50.66,2024-04-27T12:00:50.6683562-04:00,2024-04-27T16:00:50.6683562Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,17e63556-7727-493d-b535-1924761a4135,54.82852,-127.46993,13.06592,5.13649,-0.70913,-9.29712,-2.17173,7.65749,-7.83242,27.411426,0.13516,-79.55209,5.00617,,,,,,,2.92349,48.96528,-28.14063,,,,,,,-0.26859,-39.50026,7.49013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2024-04-27,12:01:05.50,2,2,"Morgan, Luc",1000126728,Right,CEN_COL,"Pelle, Bradley",1000229787,Left,MIL_COL,Undefined,1,Top,1,0,1,Curveball,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,72.56363,3.517553,-1.06325,2060.439509,30.348637,7:00,5.2838,1.96563,5.42403,-64.01283,-8.32091,-6.1641,3.24871,0.45598,64.78754,-8.218756,-2.159643,0.537115,88.35463,34.903416,-8.741308,,107.11407,67.11963,-25.02914,355.91115,353.62389,-20.369311,4.892286,2.69488,-4.81772,-1.8669,50,5.55209,2.17811,-104.88675,4.40532,2.91177,22.71181,-37.37946,CEN_COL,MIL_COL,GaryWright,D3,Team,20240427-GaryWright-1,5ae2dde0-04af-11ef-a487-bb1091214b2a,70.17571,85.71774,,7.77609,,,,0.723,3.20436,-0.43034,127ad410-ff02-4c4e-b23e-54d5384c1758,2024-04-27,16:01:05.50,2024-04-27T12:01:05.5065258-04:00,2024-04-27T16:01:05.5065258Z,FlyBall,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,806ba9c9-8b9f-408c-a75d-ef23fc3b6307,55.07177,-105.97928,11.35591,5.29693,6.20344,-18.68973,-1.96831,2.03804,1.45588,143.37992,0.72461,105.01141,-17.99863,4.33628,-0.85373,0.15682,-0.0274,0.00344,-0.00019,3.20535,74.11951,-18.52921,0.81337,0.21598,-0.17748,0.05151,-0.00702,0.00037,-0.42995,-16.15876,-4.75657,1.25476,-0.26649,0.04949,-0.00776,0.00085,-4E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2024-04-27,12:01:37.40,3,1,"Morgan, Luc",1000126728,Right,CEN_COL,"Berry, Gray",1000328913,Right,MIL_COL,Undefined,1,Top,2,0,0,Fastball,Changeup,HitByPitch,Undefined,Undefined,Undefined,0,0,,86.6305,1.113687,-2.641287,1875.8023,227.64552,1:30,5.21382,2.19233,5.69756,-23.23155,14.83442,14.77528,4.31687,0.96059,77.88703,-3.278458,-0.002912,0.444058,49.81722,23.09743,175.159198,4725.939589,,,,,33.87846,,,-8.30237,7.56056,-1.97976,50,5.2932,5.1502,-125.48895,1.71475,-13.05029,28.76994,-20.28978,CEN_COL,MIL_COL,GaryWright,D3,Team,20240427-GaryWright-1,6de189a0-04af-11ef-a487-bb1091214b2a,84.88177,12.90076,,8.74347,,,,-1.11308,4.12202,-0.95969,127ad410-ff02-4c4e-b23e-54d5384c1758,2024-04-27,16:01:37.40,2024-04-27T12:01:37.4093994-04:00,2024-04-27T16:01:37.4093994Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,11a3e549-095b-44c5-ad04-bc0f5f1b4b9f,54.79651,-126.58384,14.38497,5.21325,2.48691,-10.14489,-2.18521,5.64685,-6.52514,335.872176,-1.11308,-66.96843,5.19197,-0.1628,-0.00732,-0.13701,0.73304,-1.24392,0.73981,4.12202,28.66317,-23.45901,2.22956,-0.08833,-2.4146,7.76225,-11.05622,5.94444,-0.95969,5.67156,-2.74564,1.08766,0.11124,-2.6062,8.48803,-12.2614,6.6553,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
7,,,4,1,"Morgan, Luc",1000126728,Right,CEN_COL,"Scott, Evan",1000328911,Right,MIL_COL,Undefined,1,Top,2,0,0,Fastball,,InPlay,Undefined,FlyBall,Out,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEN_COL,MIL_COL,GaryWright,D3,Team,20240427-GaryWright-1,963183b0-04af-11ef-a487-bb1091214b2a,,,,,,,,,,,127ad410-ff02-4c4e-b23e-54d5384c1758,,,,,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2024-04-27,12:05:20.45,1,1,"Tarantino, Nick",1000181535,Left,MIL_COL,"Cunningham, Josh",1000241980,Right,CEN_COL,Undefined,1,Bottom,0,0,0,Fastball,Changeup,InPlay,Undefined,FlyBall,Out,1,0,,84.58008,-1.475323,2.751952,1847.331854,147.555808,11:00,6.07655,-2.0828,5.96357,-19.83568,19.78497,-11.643,3.05378,-0.49947,76.11987,-5.279421,0.662172,0.453036,81.07487,53.835292,23.780608,3413.633688,97.16848,111.85631,51.55855,213.28554,109.4909,28.62142,5.320625,6.86201,11.04879,1.87094,50,5.94858,-5.41928,-122.52391,-3.69164,10.25802,27.9608,-15.65721,CEN_COL,MIL_COL,GaryWright,D3,Team,20240427-GaryWright-1,f2bd60e0-04af-11ef-a487-bb1091214b2a,83.19974,113.44527,,8.46021,,,,0.71351,3.10993,0.46415,127ad410-ff02-4c4e-b23e-54d5384c1758,2024-04-27,16:05:20.45,2024-04-27T12:05:20.4524202-04:00,2024-04-27T16:05:20.4524202Z,FlyBall,v3,,,,"Scott, Evan",1000328911,Right,MIL_COL,d76e59d2-ae5c-4c37-8b44-9a223f6370aa,54.53066,-123.55351,13.9804,6.0739,-3.11509,-7.82861,2.07745,-5.79701,5.12901,196.863702,0.73796,63.73155,-13.27253,1.16797,1.39302,-0.79103,0.1905,-0.02198,0.00099,3.10759,96.00884,-25.42296,2.46364,-0.02668,-0.21911,0.07933,-0.0118,0.00065,0.46098,28.34596,-2.83291,0.32373,-0.03771,-0.00151,0.00406,-0.00101,8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
9,2024-04-27,12:05:57.84,2,1,"Tarantino, Nick",1000181535,Left,MIL_COL,"Prather, Ben",1000190341,Right,CEN_COL,Undefined,1,Bottom,1,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.66459,-0.107579,1.501351,1911.163443,142.33778,10:45,6.00069,-2.22953,5.94927,-19.24312,20.47316,-14.62776,4.29729,-2.05576,75.67305,-3.828918,-1.12603,0.453582,,,,,,,,,,,,7.92583,10.91985,2.11787,50,5.98144,-2.60342,-122.6813,-0.72531,11.81029,29.30964,-15.90242,CEN_COL,MIL_COL,GaryWright,D3,Team,20240427-GaryWright-1,0915e600-04b0-11ef-a487-bb1091214b2a,83.09952,,,8.99154,,,,,,,127ad410-ff02-4c4e-b23e-54d5384c1758,2024-04-27,16:05:57.84,2024-04-27T12:05:57.8475178-04:00,2024-04-27T16:05:57.8475178Z,,v3,,,,"Scott, Evan",1000328911,Right,MIL_COL,a83327b9-3f08-4d5c-829f-f729fd4a3798,54.54238,-123.76175,14.65482,5.99737,-0.13909,-7.95121,2.22186,-3.03879,5.90514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-04-27,12:06:32.30,2,2,"Tarantino, Nick",1000181535,Left,MIL_COL,"Prather, Ben",1000190341,Right,CEN_COL,Undefined,1,Bottom,1,1,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.8871,0.11377,2.635054,1650.866148,104.800187,9:30,5.75596,-2.14773,5.92134,-42.714,6.14874,-15.48288,2.30215,-0.99107,68.31108,-7.875597,-0.145988,0.503107,,,,,,,,,,,,8.83386,3.74024,1.94509,50,5.74178,-4.52221,-111.20537,-1.05657,10.67505,26.43815,-27.65426,CEN_COL,MIL_COL,GaryWright,D3,Team,20240427-GaryWright-1,1da48090-04b0-11ef-a487-bb1091214b2a,74.91932,,,8.57602,,,,,,,127ad410-ff02-4c4e-b23e-54d5384c1758,2024-04-27,16:06:32.30,2024-04-27T12:06:32.3073194-04:00,2024-04-27T16:06:32.3073194Z,,v3,,,,"Scott, Evan",1000328911,Right,MIL_COL,e3739ff1-631d-45ad-af1d-1c873e1b8d19,54.56946,-112.28647,13.21908,5.76186,0.07425,-13.82713,2.13893,-4.95873,5.33752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
