GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
821199be-b8ae-4500-bb45-c8470b603875,1,b02cfd60-08c6-11ef-9914-f3f327b09856,eb3d2df4-3a57-4247-bec0-3c3c0a9a5e10,2024-05-02,16:58:11.81,2024-05-02,20:58:11.81,2024-05-02T16:58:11.8114042-04:00,2024-05-02T20:58:11.8114042Z,CEN_COL,SEW_TIG,StrikeCalled,Undefined,NoShift,93.76924,80.83537,153.09661,71.0878,74.2291,-50.45704,157.03618,-19.0174,274.63923,-137.51999,343.93735,1.17918,280.02247,165.17296,,,,,,,,,,,,,,,true
821199be-b8ae-4500-bb45-c8470b603875,2,b8445ed0-08c6-11ef-9914-f3f327b09856,95432ddf-61f7-4914-942a-a37fe4bdb22d,2024-05-02,16:58:25.34,2024-05-02,20:58:25.34,2024-05-02T16:58:25.3464314-04:00,2024-05-02T20:58:25.3464314Z,CEN_COL,SEW_TIG,BallCalled,Undefined,NoShift,96.11841,84.05601,152.72389,68.58128,75.66298,-48.62334,158.90334,-17.41754,277.48193,-138.84855,346.97147,3.50146,277.68479,163.74219,,,,,,,,,,,,,,,true
821199be-b8ae-4500-bb45-c8470b603875,3,c2097040-08c6-11ef-9914-f3f327b09856,ff7eecf3-3169-41e0-ba6c-fd690d8a75e9,2024-05-02,16:58:41.74,2024-05-02,20:58:41.74,2024-05-02T16:58:41.7446138-04:00,2024-05-02T20:58:41.7446138Z,CEN_COL,SEW_TIG,StrikeCalled,Undefined,NoShift,95.9488,83.048,149.84664,69.62637,76.49731,-49.34737,158.51543,-16.59873,276.13903,-138.55986,352.30715,1.89467,278.10515,164.77911,,,,,,,,,,,,,,,true
821199be-b8ae-4500-bb45-c8470b603875,4,cce7e0f0-08c6-11ef-9914-f3f327b09856,04bd0a32-b88e-4410-bf30-fab69511dda1,2024-05-02,16:58:59.93,2024-05-02,20:58:59.93,2024-05-02T16:58:59.9340282-04:00,2024-05-02T20:58:59.9340282Z,CEN_COL,SEW_TIG,StrikeCalled,Undefined,NoShift,96.13811,84.53669,153.27458,70.88419,99.36457,-68.77734,155.79388,-17.59521,281.14497,-141.61395,340.84305,0.87298,278.33673,164.15088,,,,,,,,,,,,,,,true
821199be-b8ae-4500-bb45-c8470b603875,5,dcabfb20-08c6-11ef-9914-f3f327b09856,dc8d5694-82eb-4dcc-856c-895393fcbc6d,2024-05-02,16:59:26.41,2024-05-02,20:59:26.41,2024-05-02T16:59:26.4197882-04:00,2024-05-02T20:59:26.4197882Z,CEN_COL,SEW_TIG,StrikeSwinging,Undefined,NoShift,96.14977,73.80108,143.02824,44.03481,90.55554,-69.08598,147.30773,-44.06478,276.13258,-140.06481,345.59737,-5.18699,280.61727,163.75483,,,,,,,,,,,,,,,true
821199be-b8ae-4500-bb45-c8470b603875,6,e5ec2520-08c6-11ef-9914-f3f327b09856,0372488e-4c4a-4e76-9409-2eea0008927d,2024-05-02,16:59:41.97,2024-05-02,20:59:41.97,2024-05-02T16:59:41.9758842-04:00,2024-05-02T20:59:41.9758842Z,CEN_COL,SEW_TIG,BallCalled,Undefined,NoShift,96.17414,74.08111,143.98947,43.41866,95.03467,-72.47548,147.40938,-46.3314,280.00028,-141.87089,344.81516,-4.0418,269.19562,159.94619,,,,,,,,,,,,,,,true
821199be-b8ae-4500-bb45-c8470b603875,7,ed126fd0-08c6-11ef-9914-f3f327b09856,bec2bdcb-9d11-457f-ae79-cff664c7bb44,2024-05-02,16:59:53.92,2024-05-02,20:59:53.92,2024-05-02T16:59:53.9244282-04:00,2024-05-02T20:59:53.9244282Z,CEN_COL,SEW_TIG,BallCalled,Undefined,NoShift,97.77381,74.44775,147.2089,43.92339,100.14218,-74.36923,147.57747,-46.08211,280.70388,-143.37885,351.05519,-3.68269,275.65298,162.69616,,,,,,,,,,,,,,,true
821199be-b8ae-4500-bb45-c8470b603875,8,f2b4b290-08c6-11ef-9914-f3f327b09856,191887b4-5b13-4db3-a210-c18a061c2d31,2024-05-02,17:00:03.45,2024-05-02,21:00:03.45,2024-05-02T17:00:03.4512634-04:00,2024-05-02T21:00:03.4512634Z,CEN_COL,SEW_TIG,StrikeSwinging,Undefined,NoShift,97.71412,74.72008,145.38446,42.66529,100.26423,-74.73922,145.67111,-47.52646,278.39799,-142.42479,349.44299,-3.89183,277.89285,162.37409,,,,,,,,,,,,,,,true
821199be-b8ae-4500-bb45-c8470b603875,9,f9795540-08c6-11ef-9914-f3f327b09856,1870c98f-ce9d-4259-a502-4205c9f7a77d,2024-05-02,17:00:14.74,2024-05-02,21:00:14.74,2024-05-02T17:00:14.7492090-04:00,2024-05-02T21:00:14.7492090Z,CEN_COL,SEW_TIG,FoulBallNotFieldable,Undefined,NoShift,96.53721,74.86199,145.56643,45.42746,107.79847,-74.56354,151.92682,-41.35046,279.10211,-142.55782,347.78963,-3.55338,274.26201,159.0293,,,,,,,,,,,,,,,true
821199be-b8ae-4500-bb45-c8470b603875,10,040a6940-08c7-11ef-9914-f3f327b09856,9eb6df46-4d39-48c8-a954-3020a9dceb62,2024-05-02,17:00:32.48,2024-05-02,21:00:32.48,2024-05-02T17:00:32.4827386-04:00,2024-05-02T21:00:32.4827386Z,CEN_COL,SEW_TIG,InPlay,Single,NoShift,95.50719,77.4278,147.7154,54.91361,106.84177,-74.48828,154.03091,-34.89019,279.47234,-140.87182,346.76572,-5.18696,258.42664,152.62719,,,,,,,,,,,,,,,true
821199be-b8ae-4500-bb45-c8470b603875,11,168f7830-08c7-11ef-9914-f3f327b09856,3f54dc9a-d718-4d58-baec-bd62b1580394,2024-05-02,17:01:03.57,2024-05-02,21:01:03.57,2024-05-02T17:01:03.5705082-04:00,2024-05-02T21:01:03.5705082Z,CEN_COL,SEW_TIG,StrikeCalled,Undefined,NoShift,64.55307,58.16407,145.90564,29.14098,87.507,-64.02358,147.73145,-31.2156,284.07164,-143.01072,361.34146,-5.21761,278.93341,159.89988,,,,,,,,,,,,,,,true
821199be-b8ae-4500-bb45-c8470b603875,12,2a07c0c0-08c7-11ef-9914-f3f327b09856,78bb8776-46a2-4568-8a1f-2be8e6eb5005,2024-05-02,17:01:36.25,2024-05-02,21:01:36.25,2024-05-02T17:01:36.2575098-04:00,2024-05-02T21:01:36.2575098Z,CEN_COL,SEW_TIG,StrikeSwinging,Undefined,NoShift,63.84863,59.37319,146.26763,27.98314,92.09576,-72.15432,151.35051,-32.79049,287.57641,-144.94929,358.90004,-7.16059,284.74372,161.12642,,,,,,,,,,,,,,,true
821199be-b8ae-4500-bb45-c8470b603875,13,3426b200-08c7-11ef-9914-f3f327b09856,2e6d1c28-8856-425f-ac16-27dbb353a383,2024-05-02,17:01:53.19,2024-05-02,21:01:53.19,2024-05-02T17:01:53.1976954-04:00,2024-05-02T21:01:53.1976954Z,CEN_COL,SEW_TIG,StrikeCalled,Undefined,NoShift,65.62848,59.53114,144.87955,27.82417,97.80634,-76.67722,152.40941,-32.84617,286.67238,-144.56815,351.80981,-6.63589,277.70714,159.50118,,,,,,,,,,,,,,,true
821199be-b8ae-4500-bb45-c8470b603875,14,46593420-08c7-11ef-9914-f3f327b09856,223c8712-f720-477a-9443-46798e7ba721,2024-05-02,17:02:23.79,2024-05-02,21:02:23.79,2024-05-02T17:02:23.7948666-04:00,2024-05-02T21:02:23.7948666Z,CEN_COL,SEW_TIG,HitByPitch,Undefined,NoShift,65.66533,59.13831,152.48828,76.78129,99.90356,-59.13968,156.28719,-10.13614,291.09317,-142.53924,354.84076,-3.05015,280.59959,173.12219,,,,,,,,,,,,,,,true
821199be-b8ae-4500-bb45-c8470b603875,15,5a39b460-08c7-11ef-9914-f3f327b09856,0f00dcf3-1473-47dc-be37-e8f2171b57cf,2024-05-02,17:02:57.08,2024-05-02,21:02:57.08,2024-05-02T17:02:57.0875642-04:00,2024-05-02T21:02:57.0875642Z,CEN_COL,SEW_TIG,StrikeSwinging,Undefined,NoShift,100.38027,86.73251,144.98217,76.17087,78.2197,-47.72243,148.87423,-10.45306,283.42467,-142.04445,352.37387,-1.29204,286.71937,174.23814,,,,,,,,,,,,,,,true
821199be-b8ae-4500-bb45-c8470b603875,16,64892b80-08c7-11ef-9914-f3f327b09856,e30ad086-fad4-416d-ba56-922636aca20a,2024-05-02,17:03:14.39,2024-05-02,21:03:14.39,2024-05-02T17:03:14.3913210-04:00,2024-05-02T21:03:14.3913210Z,CEN_COL,SEW_TIG,FoulBallNotFieldable,Undefined,NoShift,96.44259,84.59158,143.58392,72.40756,83.99129,-52.29055,146.71973,-12.05067,279.98193,-141.36166,352.96101,-4.43062,280.3079,175.48473,,,,,,,,,,,,,,,true
821199be-b8ae-4500-bb45-c8470b603875,17,754f2550-08c7-11ef-9914-f3f327b09856,8efad1d6-3836-49ba-9893-f082ce38a658,2024-05-02,17:03:42.54,2024-05-02,21:03:42.54,2024-05-02T17:03:42.5489146-04:00,2024-05-02T21:03:42.5489146Z,CEN_COL,SEW_TIG,InPlay,Single,NoShift,97.17652,84.93274,147.20723,73.44672,100.28837,-63.47871,141.48309,-11.54726,274.59217,-140.04535,348.5276,-4.74521,274.46817,174.1454,,,,,,,,,,,,,,,true
