PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-05-02,16:58:11.81,1,1,"Prather, Ben",1000190341,Right,CEN_COL,"Teel, Charlie",1000106830,Left,SEW_TIG,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.56806,-0.870162,-1.476032,1751.321901,225.488821,1:30,5.17559,0.96784,5.624,-26.91848,11.25697,10.05205,2.12008,0.42788,78.16095,-5.896667,0.31978,0.444696,,,,,,,,,,,,-5.5163,6.38811,-0.84844,50,5.08452,2.79221,-125.46535,-2.80732,-8.6697,28.70559,-22.13417,CEN_COL,SEW_TIG,GaryWright,D3,Team,20240502-GaryWright-1,b02cfd60-08c6-11ef-9914-f3f327b09856,84.75996,,,8.4071,,,,,,,821199be-b8ae-4500-bb45-c8470b603875,2024-05-02,20:58:11.81,2024-05-02T16:58:11.8114042-04:00,2024-05-02T20:58:11.8114042Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,eb3d2df4-3a57-4247-bec0-3c3c0a9a5e10,54.86908,-126.57446,14.3528,5.17647,-1.95211,-11.06709,-0.9628,3.12719,-4.33485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-05-02,16:58:25.34,1,2,"Prather, Ben",1000190341,Right,CEN_COL,"Teel, Charlie",1000106830,Left,SEW_TIG,Undefined,1,Top,0,0,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,79.95657,-0.570957,-1.813221,1354.673971,288.02048,3:30,4.94822,1.22449,5.56149,-48.6753,-3.85358,16.69273,0.35826,0.92104,72.77804,-9.460137,1.172793,0.481854,,,,,,,,,,,,-9.03083,-1.30665,-1.07926,50,4.867,3.00958,-115.96687,-2.81848,-12.1138,24.718,-33.92676,CEN_COL,SEW_TIG,GaryWright,D3,Team,20240502-GaryWright-1,b8445ed0-08c6-11ef-9914-f3f327b09856,78.22373,,,7.17853,,,,,,,821199be-b8ae-4500-bb45-c8470b603875,2024-05-02,20:58:25.34,2024-05-02T16:58:25.3464314-04:00,2024-05-02T20:58:25.3464314Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,95432ddf-61f7-4914-942a-a37fe4bdb22d,54.93652,-117.01434,12.359,4.95598,-1.38077,-16.96338,-1.21767,3.52292,-6.0569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-05-02,16:58:41.74,1,3,"Prather, Ben",1000190341,Right,CEN_COL,"Teel, Charlie",1000106830,Left,SEW_TIG,Undefined,1,Top,0,1,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.97151,-0.376406,-3.099304,2069.230949,243.642175,2:00,5.18318,1.08424,5.86156,-27.66399,9.50441,16.70253,2.52766,-0.40589,79.19006,-5.535729,-0.1065,0.438792,,,,,,,,,,,,-9.34245,5.35162,-0.84209,50,5.13672,6.11583,-126.1327,-1.74464,-14.99425,26.55298,-23.58491,CEN_COL,SEW_TIG,GaryWright,D3,Team,20240502-GaryWright-1,c2097040-08c6-11ef-9914-f3f327b09856,85.90056,,,7.78145,,,,,,,821199be-b8ae-4500-bb45-c8470b603875,2024-05-02,20:58:41.74,2024-05-02T16:58:41.7446138-04:00,2024-05-02T20:58:41.7446138Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,ff7eecf3-3169-41e0-ba6c-fd690d8a75e9,54.63391,-127.10447,13.27649,5.18477,-0.8815,-11.79245,-1.07595,6.66458,-7.49713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-05-02,16:58:59.93,1,4,"Prather, Ben",1000190341,Right,CEN_COL,"Teel, Charlie",1000106830,Left,SEW_TIG,Undefined,1,Top,0,1,2,Slider,Curveball,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,77.02061,1.846344,0.305171,1592.318577,66.742232,8:15,4.93214,1.25447,5.68393,-49.35066,-1.52705,-7.27477,2.54115,0.93268,70.11856,-7.229554,-0.996491,0.497729,,,,,,,,,,,,3.75126,-0.77579,-1.27568,50,5.05717,-0.31409,-111.74579,2.00287,4.70364,21.70858,-33.1468,CEN_COL,SEW_TIG,GaryWright,D3,Team,20240502-GaryWright-1,cce7e0f0-08c6-11ef-9914-f3f327b09856,75.72891,,,6.90206,,,,,,,821199be-b8ae-4500-bb45-c8470b603875,2024-05-02,20:58:59.93,2024-05-02T16:58:59.9340282-04:00,2024-05-02T20:58:59.9340282Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,04bd0a32-b88e-4410-bf30-fab69511dda1,54.81196,-112.67672,10.85429,4.9408,3.42431,-16.5734,-1.25789,-0.51579,2.35182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.02194,,,0.814063,,,,6.25746,4.9823,1.57934,71.83156,8.65116,52.92835,6.44758,88.61015,-10.0972,5.07591,16.26492,-14.54145,1.58614,65.2751,-2.70652,High,High,High,,,High,High,High
5,2024-05-02,16:59:26.41,2,1,"Prather, Ben",1000190341,Right,CEN_COL,"Bagwell, John",1000243146,Right,SEW_TIG,Undefined,1,Top,1,0,0,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.17008,-0.314753,-2.176574,1784.203345,223.693374,1:30,5.2113,0.75045,5.70159,-26.56159,10.98945,9.21056,2.70434,-0.51106,78.62805,-5.286372,-0.530154,0.441044,,,,,,,,,,,,-5.30811,6.08575,-0.5734,50,5.16873,4.39308,-126.30895,-1.57926,-8.45929,28.97533,-22.47549,CEN_COL,SEW_TIG,GaryWright,D3,Team,20240502-GaryWright-1,dcabfb20-08c6-11ef-9914-f3f327b09856,85.46177,,,8.54203,,,,,,,821199be-b8ae-4500-bb45-c8470b603875,2024-05-02,20:59:26.41,2024-05-02T16:59:26.4197882-04:00,2024-05-02T20:59:26.4197882Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,dc8d5694-82eb-4dcc-856c-895393fcbc6d,54.79073,-127.4032,14.48766,5.21234,-0.73047,-11.23775,-0.74533,4.71254,-4.22964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-05-02,16:59:41.97,2,2,"Prather, Ben",1000190341,Right,CEN_COL,"Bagwell, John",1000243146,Right,SEW_TIG,Undefined,1,Top,1,0,1,Cutter,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.28489,0.395901,-3.965832,1973.019309,293.704597,3:45,4.91921,1.07876,5.98552,-40.69577,-1.01929,5.40233,1.89571,-2.15253,76.5937,-7.118459,-2.997203,0.453355,,,,,,,,,,,,-3.97567,-0.19465,-0.7683,50,4.9285,8.2466,-122.09746,-0.52466,-5.94138,26.28979,-32.46494,CEN_COL,SEW_TIG,GaryWright,D3,Team,20240502-GaryWright-1,e5ec2520-08c6-11ef-9914-f3f327b09856,83.14117,,,7.69119,,,,,,,821199be-b8ae-4500-bb45-c8470b603875,2024-05-02,20:59:41.97,2024-05-02T16:59:41.9758842-04:00,2024-05-02T20:59:41.9758842Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,0372488e-4c4a-4e76-9409-2eea0008927d,54.51034,-123.06478,13.1449,4.92583,0.66989,-16.23247,-1.07576,8.46522,-2.97069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-05-02,16:59:53.92,2,3,"Prather, Ben",1000190341,Right,CEN_COL,"Bagwell, John",1000243146,Right,SEW_TIG,Undefined,1,Top,1,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.05524,4.528132,0.37796,1700.317499,64.533265,8:15,5.0193,1.11841,5.57678,-53.79944,-2.56315,-9.25678,4.77399,0.70001,67.37765,-5.380667,-1.270783,0.515181,,,,,,,,,,,,4.72567,-2.10315,-1.14499,50,5.37527,-0.35383,-108.49086,6.8584,5.54059,21.86548,-34.63986,CEN_COL,SEW_TIG,GaryWright,D3,Team,20240502-GaryWright-1,ed126fd0-08c6-11ef-9914-f3f327b09856,73.16342,,,7.67759,,,,,,,821199be-b8ae-4500-bb45-c8470b603875,2024-05-02,20:59:53.92,2024-05-02T16:59:53.9244282-04:00,2024-05-02T20:59:53.9244282Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,bec2bdcb-9d11-457f-ae79-cff664c7bb44,54.91748,-109.47745,10.93274,5.03054,8.42139,-17.31993,-1.12339,-0.60383,2.77029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-05-02,17:00:03.45,2,4,"Prather, Ben",1000190341,Right,CEN_COL,"Bagwell, John",1000243146,Right,SEW_TIG,Undefined,1,Top,1,2,1,Fastball,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.05565,0.149037,-3.196555,1929.611597,267.510436,3:00,5.10561,1.11379,5.79025,-35.32215,1.87209,15.06335,2.30095,-0.60754,79.37667,-6.367451,-0.500503,0.438944,,,,,,,,,,,,-8.5841,1.29205,-0.8595,50,5.09683,6.41571,-126.26996,-0.91717,-13.80075,26.72146,-30.0968,CEN_COL,SEW_TIG,GaryWright,D3,Team,20240502-GaryWright-1,f2b4b290-08c6-11ef-9914-f3f327b09856,85.87071,,,7.67898,,,,,,,821199be-b8ae-4500-bb45-c8470b603875,2024-05-02,21:00:03.45,2024-05-02T17:00:03.4512634-04:00,2024-05-02T21:00:03.4512634Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,191887b4-5b13-4db3-a210-c18a061c2d31,54.70715,-127.2622,13.36073,5.11014,0.2004,-15.0484,-1.10725,6.92816,-6.90037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-05-02,17:00:14.74,2,5,"Prather, Ben",1000190341,Right,CEN_COL,"Bagwell, John",1000243146,Right,SEW_TIG,Undefined,1,Top,1,2,2,Fastball,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.02449,-0.240786,-3.533954,1973.686416,263.075093,2:45,5.1769,0.8772,5.78084,-33.47577,3.05516,14.98485,2.1628,-1.1662,80.00925,-6.426729,-0.853754,0.435012,,,,,,,,,,,,-8.66418,2.01323,-0.59444,50,5.13703,7.23548,-127.58006,-1.7243,-14.17582,28.03779,-28.88015,CEN_COL,SEW_TIG,GaryWright,D3,Team,20240502-GaryWright-1,f9795540-08c6-11ef-9914-f3f327b09856,86.6468,,,8.01525,,,,,,,821199be-b8ae-4500-bb45-c8470b603875,2024-05-02,21:00:14.74,2024-05-02T17:00:14.7492090-04:00,2024-05-02T21:00:14.7492090Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,1870c98f-ce9d-4259-a502-4205c9f7a77d,54.71585,-128.61227,14.01889,5.18094,-0.66109,-14.44008,-0.87042,7.75736,-7.08791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-05-02,17:00:32.48,2,6,"Prather, Ben",1000190341,Right,CEN_COL,"Bagwell, John",1000243146,Right,SEW_TIG,Undefined,1,Top,1,2,2,Cutter,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,83.06635,1.846792,-2.213012,2017.061677,273.947036,3:15,4.95677,1.15455,5.71748,-40.37333,0.66496,10.06052,3.31449,-0.06951,75.48629,-5.599632,-0.41455,0.461069,90.92072,6.922564,26.644932,3160.368255,94.90181,4.50788,55.61963,138.92848,136.53286,31.427632,1.217221,-5.77146,0.18925,-0.97589,50,5.08633,4.24829,-120.47264,2.51034,-8.42577,24.85459,-31.89776,CEN_COL,SEW_TIG,GaryWright,D3,Team,20240502-GaryWright-1,040a6940-08c7-11ef-9914-f3f327b09856,81.75008,7.15189,,7.58006,,,,0.12564,3.22437,0.1235,821199be-b8ae-4500-bb45-c8470b603875,2024-05-02,21:00:32.48,2024-05-02T17:00:32.4827386-04:00,2024-05-02T21:00:32.4827386Z,GroundBall,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,9eb6df46-4d39-48c8-a954-3020a9dceb62,54.77971,-121.45473,12.4273,4.96224,3.77074,-15.94888,-1.15033,4.58123,-4.21289,262.42638,0.12564,118.31988,-19.86933,2.65181,-0.51971,0.08855,-0.01445,0.00238,-0.00024,3.22437,16.0724,-17.32197,1.94015,-0.37188,0.09045,-0.01771,0.00285,-0.00029,0.1235,59.36628,1.05622,-1.10621,0.2941,-0.07611,0.01611,-0.00279,0.00029,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
