GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
25645ffd-872d-4081-b478-45afaadccfd8,1,5f582410-096a-11ef-b4f5-71e0c1f1ee14,7093205e-6cc6-4e75-ab28-3966b85dcbb5,2024-05-03,12:29:53.55,2024-05-03,16:29:53.55,2024-05-03T12:29:53.5541966-04:00,2024-05-03T16:29:53.5541966Z,CEN_COL,RHO_COL,StrikeCalled,Undefined,NoShift,95.83639,73.18466,148.94593,41.5883,88.90187,-68.15799,148.22516,-45.64799,281.69961,-143.15715,345.06387,-9.25725,279.52658,156.9728,,,,,,,,,,,,,,,true
25645ffd-872d-4081-b478-45afaadccfd8,2,676f5e70-096a-11ef-b4f5-71e0c1f1ee14,8f427bb3-755c-4dbc-87b3-449a4e2c0926,2024-05-03,12:30:07.13,2024-05-03,16:30:07.13,2024-05-03T12:30:07.1390926-04:00,2024-05-03T16:30:07.1390926Z,CEN_COL,RHO_COL,BallCalled,Undefined,NoShift,98.82634,75.21037,147.23566,41.28164,91.53729,-73.2264,146.05088,-45.29999,277.77883,-141.64376,346.92457,-10.75775,280.81578,157.73988,,,,,,,,,,,,,,,true
25645ffd-872d-4081-b478-45afaadccfd8,3,7056ba10-096a-11ef-b4f5-71e0c1f1ee14,346562d6-5e87-43ee-8138-a1e7f722bc98,2024-05-03,12:30:22.10,2024-05-03,16:30:22.10,2024-05-03T12:30:22.1043918-04:00,2024-05-03T16:30:22.1043918Z,CEN_COL,RHO_COL,InPlay,Out,NoShift,98.01807,76.03468,147.49417,44.34651,91.83897,-73.03758,145.20184,-45.74704,283.13759,-143.72742,345.61408,-10.72844,278.6507,157.72707,,,,,,,,,,,,,,,true
25645ffd-872d-4081-b478-45afaadccfd8,4,823f61f0-096a-11ef-b4f5-71e0c1f1ee14,cb0d226e-ec79-4fdc-9d00-00409b734e64,2024-05-03,12:30:52.15,2024-05-03,16:30:52.15,2024-05-03T12:30:52.1501390-04:00,2024-05-03T16:30:52.1501390Z,CEN_COL,RHO_COL,BallCalled,Undefined,NoShift,100.10966,72.63387,147.09934,38.19876,86.65163,-68.14743,143.45525,-47.3421,274.8913,-138.74607,340.12765,-8.36708,276.97632,155.89579,,,,,,,,,,,,,,,true
25645ffd-872d-4081-b478-45afaadccfd8,5,8ad76510-096a-11ef-b4f5-71e0c1f1ee14,2be9d8f2-556c-4258-bc70-dcfa3fbca8c9,2024-05-03,12:31:06.61,2024-05-03,16:31:06.61,2024-05-03T12:31:06.6117326-04:00,2024-05-03T16:31:06.6117326Z,CEN_COL,RHO_COL,StrikeCalled,Undefined,NoShift,99.5847,72.51739,145.96483,39.00316,86.57326,-68.12514,143.71306,-47.14667,271.60752,-137.44355,338.33751,-9.18994,273.2989,152.20947,,,,,,,,,,,,,,,true
25645ffd-872d-4081-b478-45afaadccfd8,6,9361ac90-096a-11ef-b4f5-71e0c1f1ee14,7a2ae1ed-d507-4b47-b9f0-a1b8f4ddd19d,2024-05-03,12:31:20.88,2024-05-03,16:31:20.88,2024-05-03T12:31:20.8894670-04:00,2024-05-03T16:31:20.8894670Z,CEN_COL,RHO_COL,BallCalled,Undefined,NoShift,99.39118,71.96098,145.34164,39.31182,92.87749,-72.5317,146.1459,-48.92522,272.28056,-137.82725,338.28301,-9.44756,275.82049,152.42966,,,,,,,,,,,,,,,true
25645ffd-872d-4081-b478-45afaadccfd8,7,9da563e0-096a-11ef-b4f5-71e0c1f1ee14,a10ac295-6ddf-49c5-8aaf-c611d3d620c0,2024-05-03,12:31:38.08,2024-05-03,16:31:38.08,2024-05-03T12:31:38.0809422-04:00,2024-05-03T16:31:38.0809422Z,CEN_COL,RHO_COL,StrikeCalled,Undefined,NoShift,98.77715,73.06324,147.4185,40.40729,92.8916,-72.18324,140.7329,-49.41141,272.55101,-138.1165,340.18783,-9.60961,267.79671,152.23309,,,,,,,,,,,,,,,true
25645ffd-872d-4081-b478-45afaadccfd8,8,a811b1d0-096a-11ef-b4f5-71e0c1f1ee14,5174975e-1f96-4520-b869-c63839faeced,2024-05-03,12:31:55.57,2024-05-03,16:31:55.57,2024-05-03T12:31:55.5782350-04:00,2024-05-03T16:31:55.5782350Z,CEN_COL,RHO_COL,InPlay,Single,NoShift,98.28659,75.85308,144.07988,46.41488,97.99184,-75.39016,142.92527,-47.05689,274.54008,-139.20031,342.67564,-9.32998,244.69662,140.59699,,,,,,,,,,,,,,,true
25645ffd-872d-4081-b478-45afaadccfd8,9,c51f4940-096a-11ef-b4f5-71e0c1f1ee14,d67e8b8b-6f18-4f7b-bb17-8f24af5b93aa,2024-05-03,12:32:44.38,2024-05-03,16:32:44.38,2024-05-03T12:32:44.3853006-04:00,2024-05-03T16:32:44.3853006Z,CEN_COL,RHO_COL,BallCalled,Undefined,NoShift,63.63731,58.89671,142.2571,28.8099,94.62961,-70.84007,148.29571,-30.14234,278.16081,-141.41375,355.63433,-9.44839,282.62762,151.53184,,,,,,,,,,,,,,,true
25645ffd-872d-4081-b478-45afaadccfd8,10,db44d780-096a-11ef-b4f5-71e0c1f1ee14,375deb7e-a791-452e-88c7-b4bea1df674a,2024-05-03,12:33:21.47,2024-05-03,16:33:21.47,2024-05-03T12:33:21.4724814-04:00,2024-05-03T16:33:21.4724814Z,CEN_COL,RHO_COL,InPlay,Out,NoShift,64.08789,59.67299,144.4563,29.94377,98.70539,-74.17371,150.04351,-31.06191,282.79625,-143.42218,352.93608,-11.44796,263.14822,157.30736,,,,,,,,,,,,,,,true
