PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-05-03,12:29:53.55,1,1,"Morgan, Luc",1000126728,Right,CEN_COL,"Burkhart, Ben",1000224040,Right,RHO_COL,Undefined,1,Top,0,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.48462,1.965045,-0.976183,1990.182795,59.341041,8:00,4.94726,2.44186,5.7312,-50.7377,-2.41835,-6.7341,2.55007,0.97152,69.82806,-7.358567,-2.181472,0.500302,,,,,,,,,,,,3.12827,-1.32425,-2.35636,50,5.08003,2.14288,-111.00014,2.19653,3.87727,21.08891,-33.81536,CEN_COL,RHO_COL,GaryWright,D3,SOUTH,20240503-GaryWright-1,5f582410-096a-11ef-b4f5-71e0c1f1ee14,75.33943,,,6.65655,,,,,,,25645ffd-872d-4081-b478-45afaadccfd8,2024-05-03,16:29:53.55,2024-05-03T12:29:53.5541966-04:00,2024-05-03T16:29:53.5541966Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,7093205e-6cc6-4e75-ab28-3966b85dcbb5,54.7663,-111.90202,10.54446,4.95517,3.64267,-16.90768,-2.44445,1.97706,1.93864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-05-03,12:30:07.13,1,2,"Morgan, Luc",1000126728,Right,CEN_COL,"Burkhart, Ben",1000224040,Right,RHO_COL,Undefined,1,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.49355,0.839993,-3.266143,2048.960321,60.319735,8:00,4.94813,2.1288,5.67177,-51.54393,-3.59335,-9.37378,1.43726,-1.70066,70.09314,-8.610091,-4.938164,0.498389,,,,,,,,,,,,3.62461,-1.56091,-1.84708,50,4.98717,6.7624,-112.17441,-0.03158,4.51927,24.35084,-34.12023,CEN_COL,RHO_COL,GaryWright,D3,SOUTH,20240503-GaryWright-1,676f5e70-096a-11ef-b4f5-71e0c1f1ee14,75.62856,,,7.4004,,,,,,,25645ffd-872d-4081-b478-45afaadccfd8,2024-05-03,16:30:07.13,2024-05-03T12:30:07.1390926-04:00,2024-05-03T16:30:07.1390926Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,8f427bb3-755c-4dbc-87b3-449a4e2c0926,54.82385,-113.21673,12.17542,4.95727,1.42891,-17.06012,-2.1324,6.56895,2.25964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-05-03,12:30:22.10,1,3,"Morgan, Luc",1000126728,Right,CEN_COL,"Burkhart, Ben",1000224040,Right,RHO_COL,Undefined,1,Top,0,1,1,Fastball,Sinker,InPlay,Undefined,GroundBall,Out,1,0,,87.56664,-0.39091,-2.717732,1930.907954,223.983623,1:30,5.03069,2.31376,5.8962,-22.34352,14.20162,12.55831,2.8054,0.83532,79.77281,-4.598242,-0.466281,0.435097,,,,,,,,,,,,-7.20977,7.73843,-2.10224,50,4.98644,5.51087,-127.06917,-1.56292,-11.75497,26.71997,-19.55719,CEN_COL,RHO_COL,GaryWright,D3,SOUTH,20240503-GaryWright-1,7056ba10-096a-11ef-b4f5-71e0c1f1ee14,86.62992,,,7.79383,,,,,,,25645ffd-872d-4081-b478-45afaadccfd8,2024-05-03,16:30:22.10,2024-05-03T12:30:22.1043918-04:00,2024-05-03T16:30:22.1043918Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,346562d6-5e87-43ee-8138-a1e7f722bc98,54.60043,-128.03289,13.35998,5.03009,-0.85754,-9.7786,-2.30865,5.93484,-5.87749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-05-03,12:30:52.15,2,1,"Morgan, Luc",1000126728,Right,CEN_COL,"Kinder, Corbin",1000224112,Right,RHO_COL,Undefined,1,Top,1,0,0,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.78389,3.950182,-0.671339,2149.253854,75.433153,8:30,4.93981,2.23351,5.60536,-50.24668,-0.5887,-8.54953,4.446,0.89436,68.75594,-5.292807,-2.195215,0.507185,,,,,,,,,,,,4.07544,-0.89488,-2.17066,50,5.24621,1.6164,-109.73648,5.96436,4.93757,20.58607,-33.25825,CEN_COL,RHO_COL,GaryWright,D3,SOUTH,20240503-GaryWright-1,823f61f0-096a-11ef-b4f5-71e0c1f1ee14,74.31701,,,7.02795,,,,,,,25645ffd-872d-4081-b478-45afaadccfd8,2024-05-03,16:30:52.15,2024-05-03T12:30:52.1501390-04:00,2024-05-03T16:30:52.1501390Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,cb0d226e-ec79-4fdc-9d00-00409b734e64,54.89023,-110.65007,10.29304,4.94877,7.44032,-16.62913,-2.23754,1.39728,2.46878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-05-03,12:31:06.61,2,2,"Morgan, Luc",1000126728,Right,CEN_COL,"Kinder, Corbin",1000224112,Right,RHO_COL,Undefined,1,Top,1,1,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.00099,0.678468,-2.022793,1770.024949,214.741768,1:15,5.03984,2.22046,5.8012,-22.21836,14.9928,9.54945,3.81973,1.1342,79.00738,-3.513559,-0.313276,0.439044,,,,,,,,,,,,-5.40193,7.7989,-2.05978,50,5.08239,4.04535,-126.21305,0.80841,-8.67725,26.68899,-19.64648,CEN_COL,RHO_COL,GaryWright,D3,SOUTH,20240503-GaryWright-1,8ad76510-096a-11ef-b4f5-71e0c1f1ee14,85.85116,,,7.9936,,,,,,,25645ffd-872d-4081-b478-45afaadccfd8,2024-05-03,16:31:06.61,2024-05-03T12:31:06.6117326-04:00,2024-05-03T16:31:06.6117326Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,2be9d8f2-556c-4258-bc70-dcfa3fbca8c9,54.69255,-127.20147,13.34449,5.03898,1.53601,-9.82324,-2.21555,4.36671,-4.33863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-05-03,12:31:20.88,2,3,"Morgan, Luc",1000126728,Right,CEN_COL,"Kinder, Corbin",1000224112,Right,RHO_COL,Undefined,1,Top,1,1,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.38538,0.973915,-2.585157,1687.522994,40.789689,7:15,4.91938,2.24185,5.62675,-52.80558,-4.18236,-4.95315,1.42867,-0.58471,70.07182,-8.666783,-3.469468,0.501872,,,,,,,,,,,,1.74272,-1.89079,-2.01842,50,4.96878,5.1902,-110.80953,0.17004,2.15531,20.78056,-34.51252,CEN_COL,RHO_COL,GaryWright,D3,SOUTH,20240503-GaryWright-1,9361ac90-096a-11ef-b4f5-71e0c1f1ee14,75.10366,,,6.31356,,,,,,,25645ffd-872d-4081-b478-45afaadccfd8,2024-05-03,16:31:20.88,2024-05-03T12:31:20.8894670-04:00,2024-05-03T16:31:20.8894670Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,7a2ae1ed-d507-4b47-b9f0-a1b8f4ddd19d,54.87099,-111.71928,10.39028,4.92827,1.68095,-17.25626,-2.24357,5.09584,1.07765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-05-03,12:31:38.08,2,4,"Morgan, Luc",1000126728,Right,CEN_COL,"Kinder, Corbin",1000224112,Right,RHO_COL,Undefined,1,Top,1,2,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.05144,3.003192,-1.514737,1941.331798,46.360327,7:30,4.85666,2.3825,5.44179,-52.80877,-3.48622,-5.28536,3.27141,0.52346,69.51507,-6.641012,-2.454472,0.505469,,,,,,,,,,,,2.21138,-2.07839,-2.24493,50,5.08617,3.12065,-110.25192,4.03171,2.71621,19.98543,-34.7269,CEN_COL,RHO_COL,GaryWright,D3,SOUTH,20240503-GaryWright-1,9da563e0-096a-11ef-b4f5-71e0c1f1ee14,74.5693,,,6.53637,,,,,,,25645ffd-872d-4081-b478-45afaadccfd8,2024-05-03,16:31:38.08,2024-05-03T12:31:38.0809422-04:00,2024-05-03T16:31:38.0809422Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,a10ac295-6ddf-49c5-8aaf-c611d3d620c0,55.05569,-111.16459,9.99271,4.86584,5.61757,-17.36345,-2.38461,2.99661,1.35811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-05-03,12:31:55.57,2,5,"Morgan, Luc",1000126728,Right,CEN_COL,"Kinder, Corbin",1000224112,Right,RHO_COL,Undefined,1,Top,1,2,2,Slider,Curveball,InPlay,Undefined,LineDrive,Single,0,0,,77.68669,2.004107,-1.61948,1947.827108,55.179838,7:45,5.02029,2.19874,5.47506,-49.5631,-2.64256,-5.81945,2.76685,0.19799,71.46656,-7.036504,-2.655435,0.493007,102.78619,7.512946,-24.61843,821.667984,98.24894,7.90283,-49.4683,172.59982,171.86179,-28.385783,1.347087,2.52043,-1.53532,-2.05234,50,5.16209,3.40848,-112.78874,2.30458,3.2535,20.11523,-34.15589,CEN_COL,RHO_COL,GaryWright,D3,SOUTH,20240503-GaryWright-1,a811b1d0-096a-11ef-b4f5-71e0c1f1ee14,76.45419,8.58606,,6.22013,,,,2.6036,2.93171,-0.26184,25645ffd-872d-4081-b478-45afaadccfd8,2024-05-03,16:31:55.57,2024-05-03T12:31:55.5782350-04:00,2024-05-03T16:31:55.5782350Z,LineDrive,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,5174975e-1f96-4520-b869-c63839faeced,55.02476,-113.68134,10.05762,5.0262,3.82023,-17.07794,-2.20038,3.26411,1.62675,97.772236,2.6036,135.8732,-23.30351,4.52818,-0.99433,0.20339,-0.0416,0.00714,-0.00069,2.93171,19.71096,-18.03216,1.65728,-0.32316,0.07098,-0.01339,0.0023,-0.00024,-0.26184,-62.26049,0.14743,1.14541,-0.42534,0.12445,-0.03038,0.00574,-0.00059,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2024-05-03,12:32:44.38,3,1,"Morgan, Luc",1000126728,Right,CEN_COL,"Messina, Dante",1000224036,Right,RHO_COL,Undefined,1,Top,1,0,0,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.7367,0.785688,-2.288726,1541.233412,243.711238,2:00,5.0981,2.34288,5.75994,-32.16136,6.8787,11.48768,3.1499,1.16881,77.59132,-5.169426,-0.233273,0.449704,,,,,,,,,,,,-6.42953,3.68126,-2.16006,50,5.14384,4.43872,-123.01463,0.60589,-9.87512,23.8711,-26.52,CEN_COL,RHO_COL,GaryWright,D3,SOUTH,20240503-GaryWright-1,c51f4940-096a-11ef-b4f5-71e0c1f1ee14,83.81612,,,7.14538,,,,,,,25645ffd-872d-4081-b478-45afaadccfd8,2024-05-03,16:32:44.38,2024-05-03T12:32:44.3853006-04:00,2024-05-03T16:32:44.3853006Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,d67e8b8b-6f18-4f7b-bb17-8f24af5b93aa,54.73627,-123.93031,11.93555,5.10109,1.62317,-13.26,-2.3376,4.81752,-4.93756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-05-03,12:33:21.47,3,2,"Morgan, Luc",1000126728,Right,CEN_COL,"Messina, Dante",1000224036,Right,RHO_COL,Undefined,1,Top,1,1,0,Slider,Curveball,InPlay,Undefined,Popup,Out,1,0,,77.03989,2.808665,-2.417241,2041.319024,68.013167,8:15,4.94894,2.29858,5.532,-48.65896,-0.58445,-5.29292,3.52383,-0.40332,70.19985,-6.111986,-3.358629,0.499033,85.40494,51.599286,33.673497,4393.282392,80.13496,119.81791,75.35485,214.98409,114.15385,50.159901,5.870765,1.97091,-0.69252,-2.08497,50,5.16059,4.91316,-111.62691,3.89934,2.47313,21.12451,-33.04303,CEN_COL,RHO_COL,GaryWright,D3,SOUTH,20240503-GaryWright-1,db44d780-096a-11ef-b4f5-71e0c1f1ee14,75.53101,126.11575,,6.84005,,,,0.89579,3.45882,0.37614,25645ffd-872d-4081-b478-45afaadccfd8,2024-05-03,16:33:21.47,2024-05-03T12:33:21.4724814-04:00,2024-05-03T16:33:21.4724814Z,FlyBall,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,375deb7e-a791-452e-88c7-b4bea1df674a,54.96579,-112.56272,10.56226,4.95542,5.36314,-16.52152,-2.3002,4.8036,1.23657,203.618399,0.95259,63.722,-16.87436,-0.0782,3.05811,-1.49994,0.33778,-0.03688,0.00157,3.43927,98.44707,-24.55787,3.09604,-0.72868,0.09139,0.00925,-0.00358,0.00025,0.36055,43.3629,-4.05509,0.46506,-0.12692,0.01073,0.00805,-0.00206,0.00014,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
