GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
7d268391-3d54-4859-b015-5fd1c2ee4ff1,1,888e3980-0a48-11ef-95bf-e9a63ec3eba3,6a07f240-95cb-4bbe-98e6-e367fca9ec6c,2024-05-04,15:00:10.99,2024-05-04,19:00:10.99,2024-05-04T15:00:10.9907700-04:00,2024-05-04T19:00:10.9907700Z,CEN_COL,HEN_COL,StrikeSwinging,Undefined,NoShift,99.33536,71.48238,152.74617,41.46534,75.68881,-55.34495,147.28353,-47.7981,290.67303,-145.96411,358.65623,-7.94653,288.74239,167.53217,,,,,,,,,,,,,,,true
7d268391-3d54-4859-b015-5fd1c2ee4ff1,2,92c6a630-0a48-11ef-95bf-e9a63ec3eba3,36389ff7-a464-451b-9cdc-27e0015bd0d1,2024-05-04,15:00:28.18,2024-05-04,19:00:28.18,2024-05-04T15:00:28.1857268-04:00,2024-05-04T19:00:28.1857268Z,CEN_COL,HEN_COL,BallCalled,Undefined,NoShift,100.35739,73.94814,153.19984,43.46366,76.69206,-56.73407,151.10682,-48.27814,294.61486,-148.07812,361.44481,-6.38801,285.43245,165.38376,,,,,,,,,,,,,,,true
7d268391-3d54-4859-b015-5fd1c2ee4ff1,3,9c226e80-0a48-11ef-95bf-e9a63ec3eba3,86ea7512-9dd8-45e1-8384-90a75d538f2b,2024-05-04,15:00:43.86,2024-05-04,19:00:43.86,2024-05-04T15:00:43.8639860-04:00,2024-05-04T19:00:43.8639860Z,CEN_COL,HEN_COL,BallCalled,Undefined,NoShift,98.84187,74.70691,153.50664,42.5946,78.87633,-57.93156,152.18409,-49.11474,293.69274,-147.984,361.89704,-6.67789,285.18835,164.68469,,,,,,,,,,,,,,,true
7d268391-3d54-4859-b015-5fd1c2ee4ff1,4,a5428d60-0a48-11ef-95bf-e9a63ec3eba3,a0ffc8ba-de69-4bea-b551-f23800b6826f,2024-05-04,15:00:59.23,2024-05-04,19:00:59.23,2024-05-04T15:00:59.2338676-04:00,2024-05-04T19:00:59.2338676Z,CEN_COL,HEN_COL,BallCalled,Undefined,NoShift,100.31931,75.81382,150.21097,44.12045,78.41466,-57.15114,150.43621,-47.72171,297.10462,-149.56045,361.1838,-8.70689,285.39833,166.14761,,,,,,,,,,,,,,,true
7d268391-3d54-4859-b015-5fd1c2ee4ff1,5,afa8c0d0-0a48-11ef-95bf-e9a63ec3eba3,0a4adc73-5a5d-40d1-bfce-67b6c581e724,2024-05-04,15:01:16.68,2024-05-04,19:01:16.68,2024-05-04T15:01:16.6876916-04:00,2024-05-04T19:01:16.6876916Z,CEN_COL,HEN_COL,BallCalled,Undefined,NoShift,100.1437,76.2624,149.85399,44.00782,92.11469,-72.40916,149.59399,-49.60926,294.49917,-148.50072,359.69195,-8.2795,282.6371,164.52605,,,,,,,,,,,,,,,true
7d268391-3d54-4859-b015-5fd1c2ee4ff1,6,c47c0580-0a48-11ef-95bf-e9a63ec3eba3,300a5c0e-43ad-41f8-baa0-8b6b52b08ce3,2024-05-04,15:01:51.60,2024-05-04,19:01:51.60,2024-05-04T15:01:51.6005620-04:00,2024-05-04T19:01:51.6005620Z,CEN_COL,HEN_COL,StrikeCalled,Undefined,NoShift,65.67083,57.88526,141.64131,54.29619,77.78953,-49.37622,148.53329,-15.90017,291.01102,-146.13521,362.68312,-3.4112,285.94767,178.31763,,,,,,,,,,,,,,,true
7d268391-3d54-4859-b015-5fd1c2ee4ff1,7,da03cd20-0a48-11ef-95bf-e9a63ec3eba3,333d951f-a5fb-451e-96e5-95d142e2a8ec,2024-05-04,15:02:27.69,2024-05-04,19:02:27.69,2024-05-04T15:02:27.6934388-04:00,2024-05-04T19:02:27.6934388Z,CEN_COL,HEN_COL,StrikeSwinging,Undefined,NoShift,65.33766,58.86039,139.52712,50.94212,77.73432,-48.26356,148.83445,-17.27364,290.93592,-146.16148,364.6766,2.24394,282.25433,176.46462,,,,,,,,,,,,,,,true
7d268391-3d54-4859-b015-5fd1c2ee4ff1,8,f0abd1d0-0a48-11ef-95bf-e9a63ec3eba3,8274544e-f6ad-41ff-9bb1-2e0d5e337187,2024-05-04,15:03:05.71,2024-05-04,19:03:05.71,2024-05-04T15:03:05.7144052-04:00,2024-05-04T19:03:05.7144052Z,CEN_COL,HEN_COL,InPlay,Out,NoShift,64.75455,59.41223,139.80542,54.39366,113.19163,-66.07694,148.84588,-18.23103,287.40057,-145.36876,362.32329,-2.50797,283.88639,168.11773,,,,,,,,,,,,,,,true
7d268391-3d54-4859-b015-5fd1c2ee4ff1,9,17768b70-0a49-11ef-95bf-e9a63ec3eba3,d950b746-1c34-4ed7-b040-7822e3257262,2024-05-04,15:04:10.86,2024-05-04,19:04:10.86,2024-05-04T15:04:10.8603124-04:00,2024-05-04T19:04:10.8603124Z,CEN_COL,HEN_COL,BallCalled,Undefined,NoShift,64.04532,58.33439,148.72348,25.22507,76.42122,-54.77488,151.94182,-34.6289,288.7556,-143.3283,363.27057,-5.05117,296.7232,162.53645,,,,,,,,,,,,,,,true
7d268391-3d54-4859-b015-5fd1c2ee4ff1,10,2facf850-0a49-11ef-95bf-e9a63ec3eba3,68fa5449-5569-4e6a-9df6-7cae45fa652f,2024-05-04,15:04:51.52,2024-05-04,19:04:51.52,2024-05-04T15:04:51.5229428-04:00,2024-05-04T19:04:51.5229428Z,CEN_COL,HEN_COL,FoulBallNotFieldable,Undefined,NoShift,64.29273,58.68908,145.70415,26.14745,81.33565,-57.38408,149.85668,-33.31432,287.41981,-143.07315,362.86316,-5.50108,293.66447,156.91886,,,,,,,,,,,,,,,true
7d268391-3d54-4859-b015-5fd1c2ee4ff1,11,3f54ff00-0a49-11ef-95bf-e9a63ec3eba3,32e7e3d3-7053-4543-8876-5d17e5d655cd,2024-05-04,15:05:17.84,2024-05-04,19:05:17.84,2024-05-04T15:05:17.8417908-04:00,2024-05-04T19:05:17.8417908Z,CEN_COL,HEN_COL,StrikeCalled,Undefined,NoShift,63.73417,58.32,143.14826,30.6885,77.40849,-55.3051,150.45235,-34.97528,288.15309,-143.57659,354.60373,-1.94062,273.20474,158.38435,,,,,,,,,,,,,,,true
7d268391-3d54-4859-b015-5fd1c2ee4ff1,12,613fdb80-0a49-11ef-95bf-e9a63ec3eba3,5d6d1144-6eb4-4656-bfd6-3182c964d0cc,2024-05-04,15:06:14.74,2024-05-04,19:06:14.74,2024-05-04T15:06:14.7492596-04:00,2024-05-04T19:06:14.7492596Z,CEN_COL,HEN_COL,StrikeCalled,Undefined,NoShift,64.08906,58.70713,145.17967,29.0994,101.4098,-73.21614,152.93388,-35.51794,286.86812,-143.63993,358.50779,-4.20077,261.09905,153.17709,,,,,,,,,,,,,,,true
