GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
580c6ce5-4d66-40c4-aa74-66948825236c,1,1efb2270-fd06-11ee-820c-99c1826e0e14,2fbb315e-a801-4578-afc1-4302f5fea067,2024-04-17,18:02:02.00,2024-04-17,22:02:02.00,2024-04-17T18:02:02.0048184-04:00,2024-04-17T22:02:02.0048184Z,CEN_COL,SPA_UNI,StrikeCalled,Undefined,NoShift,98.724,82.81006,148.73221,60.00023,73.81803,-52.42004,146.91061,-38.41135,255.70053,-155.79085,349.99519,-5.50729,262.85889,139.31002,,,,,,,,,,,,,,,true
580c6ce5-4d66-40c4-aa74-66948825236c,2,29338f20-fd06-11ee-820c-99c1826e0e14,485426ae-e8f1-4710-9f35-818a3dc72b3c,2024-04-17,18:02:19.10,2024-04-17,22:02:19.10,2024-04-17T18:02:19.1014200-04:00,2024-04-17T22:02:19.1014200Z,CEN_COL,SPA_UNI,StrikeSwinging,Undefined,NoShift,97.49377,82.49589,146.82109,58.89955,72.94098,-50.6194,150.14525,-31.11035,256.29813,-155.03591,348.11876,-4.64454,267.37893,141.37104,,,,,,,,,,,,,,,true
580c6ce5-4d66-40c4-aa74-66948825236c,3,31b7e330-fd06-11ee-820c-99c1826e0e14,59cd2c8e-df71-4dc8-ad9f-b277928f7cd2,2024-04-17,18:02:33.33,2024-04-17,22:02:33.33,2024-04-17T18:02:33.3379384-04:00,2024-04-17T22:02:33.3379384Z,CEN_COL,SPA_UNI,InPlay,Out,NoShift,97.6288,83.61358,146.11695,61.51307,77.02729,-52.57231,151.94768,-31.34193,257.6886,-156.19245,352.53474,-5.40262,262.79248,141.31574,,,,,,,,,,,,,,,true
580c6ce5-4d66-40c4-aa74-66948825236c,4,40ad14a0-fd06-11ee-820c-99c1826e0e14,e6690022-2ca0-49d4-a975-41430c238130,2024-04-17,18:02:58.54,2024-04-17,22:02:58.54,2024-04-17T18:02:58.5420088-04:00,2024-04-17T22:02:58.5420088Z,CEN_COL,SPA_UNI,StrikeCalled,Undefined,NoShift,98.7469,84.32037,151.8536,58.49047,82.22199,-41.62722,153.32339,-23.11244,258.32592,-156.16887,355.18023,-3.82576,253.24555,146.39996,,,,,,,,,,,,,,,true
580c6ce5-4d66-40c4-aa74-66948825236c,5,49964500-fd06-11ee-820c-99c1826e0e14,e8d9a15c-a0d3-49eb-b81e-8d098cd50cd6,2024-04-17,18:03:13.35,2024-04-17,22:03:13.35,2024-04-17T18:03:13.3572920-04:00,2024-04-17T22:03:13.3572920Z,CEN_COL,SPA_UNI,BallCalled,Undefined,NoShift,97.0667,83.06549,150.19512,59.48681,82.28537,-41.56751,152.85109,-20.64684,261.97837,-157.75873,356.56544,-1.43734,254.92771,148.24594,,,,,,,,,,,,,,,true
580c6ce5-4d66-40c4-aa74-66948825236c,6,52410cd0-fd06-11ee-820c-99c1826e0e14,2597f8d8-7059-45b9-b8e4-b15f457b0c09,2024-04-17,18:03:27.95,2024-04-17,22:03:27.95,2024-04-17T18:03:27.9556408-04:00,2024-04-17T22:03:27.9556408Z,CEN_COL,SPA_UNI,BallCalled,Undefined,NoShift,97.76445,83.44,144.42553,56.98939,84.54327,-42.71023,153.43342,-23.84111,260.16132,-155.57664,356.26093,-3.2428,255.46326,148.15245,,,,,,,,,,,,,,,true
580c6ce5-4d66-40c4-aa74-66948825236c,7,5baab7d0-fd06-11ee-820c-99c1826e0e14,0e231b1b-6a76-4ca8-9219-606f110c8f9f,2024-04-17,18:03:43.79,2024-04-17,22:03:43.79,2024-04-17T18:03:43.7918520-04:00,2024-04-17T22:03:43.7918520Z,CEN_COL,SPA_UNI,BallCalled,Undefined,NoShift,98.30174,84.21873,147.07141,62.25538,86.8564,-44.06057,153.35942,-27.76337,263.07026,-157.7581,352.8633,-1.15736,262.16084,151.66664,,,,,,,,,,,,,,,true
580c6ce5-4d66-40c4-aa74-66948825236c,8,63ef6ad0-fd06-11ee-820c-99c1826e0e14,f24943f8-df97-482e-8bb5-0f638d34cc2d,2024-04-17,18:03:57.68,2024-04-17,22:03:57.68,2024-04-17T18:03:57.6878392-04:00,2024-04-17T22:03:57.6878392Z,CEN_COL,SPA_UNI,StrikeCalled,Undefined,NoShift,99.28211,84.99107,144.34891,61.41622,94.67302,-45.79302,158.37771,-17.85959,260.35134,-156.78119,356.05695,-1.58716,260.6901,150.66459,,,,,,,,,,,,,,,true
580c6ce5-4d66-40c4-aa74-66948825236c,9,6ed68e10-fd06-11ee-820c-99c1826e0e14,b363fabd-9c91-4f47-ac6a-8e7a12d3b414,2024-04-17,18:04:15.92,2024-04-17,22:04:15.92,2024-04-17T18:04:15.9239480-04:00,2024-04-17T22:04:15.9239480Z,CEN_COL,SPA_UNI,StrikeSwinging,Undefined,NoShift,96.71649,84.21546,145.77876,68.16273,135.5715,-55.07545,160.25865,-12.97621,264.57849,-160.00363,351.21374,-3.87135,261.39197,151.34976,,,,,,,,,,,,,,,true
580c6ce5-4d66-40c4-aa74-66948825236c,10,7f085e30-fd06-11ee-820c-99c1826e0e14,497146f5-0851-46ad-8611-e8f14b91e05b,2024-04-17,18:04:43.14,2024-04-17,22:04:43.14,2024-04-17T18:04:43.1438136-04:00,2024-04-17T22:04:43.1438136Z,CEN_COL,SPA_UNI,HitByPitch,Undefined,NoShift,98.23961,81.72257,150.09624,44.0358,95.12711,-76.56617,149.26002,-42.58208,287.04745,-176.6132,362.99669,-4.57419,272.7011,140.6692,,,,,,,,,,,,,,,true
