GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
68681bed-db8e-4225-a851-7378338e231e,1,d2b6ddd0-d043-11ee-a8a3-5134ba1e6d0b,118a32ae-5844-40de-b4fe-cda77ebc0d30,2024-02-20,18:00:20.50,2024-02-20,23:00:20.50,2024-02-20T18:00:20.5075254-05:00,2024-02-20T23:00:20.5075254Z,CEN_COL,ASB_UNI,StrikeCalled,Undefined,NoShift,84.71675,64.45371,145.76131,47.31734,76.77348,-54.43169,149.51714,-42.94428,269.22552,-137.88866,338.14119,-10.73333,267.8935,138.97221,,,,,,,,,,,,,,,true
68681bed-db8e-4225-a851-7378338e231e,2,dacc4370-d043-11ee-a8a3-5134ba1e6d0b,e681e873-d525-4f46-8d6a-4404bc843d77,2024-02-20,18:00:34.11,2024-02-20,23:00:34.11,2024-02-20T18:00:34.1133622-05:00,2024-02-20T23:00:34.1133622Z,CEN_COL,ASB_UNI,BallCalled,Undefined,NoShift,84.2761,64.35726,145.01578,46.0698,87.35344,-58.71843,148.19747,-38.75661,272.92879,-141.84615,338.47826,-10.69656,267.85072,141.16538,,,,,,,,,,,,,,,true
68681bed-db8e-4225-a851-7378338e231e,3,e32541c0-d043-11ee-a8a3-5134ba1e6d0b,16374333-e2f2-40bb-b1d9-7ae05ffc8860,2024-02-20,18:00:48.03,2024-02-20,23:00:48.03,2024-02-20T18:00:48.0389430-05:00,2024-02-20T23:00:48.0389430Z,CEN_COL,ASB_UNI,StrikeCalled,Undefined,NoShift,97.99046,73.31007,145.99713,46.86141,87.1898,-59.06378,149.87186,-40.60885,273.69798,-141.69074,336.60034,-8.86872,267.4331,140.396,,,,,,,,,,,,,,,true
68681bed-db8e-4225-a851-7378338e231e,4,ebde3a60-d043-11ee-a8a3-5134ba1e6d0b,3e8ea7ca-5000-4c7a-8e8e-a74e3300bc18,2024-02-20,18:01:02.69,2024-02-20,23:01:02.69,2024-02-20T18:01:02.6938678-05:00,2024-02-20T23:01:02.6938678Z,CEN_COL,ASB_UNI,InPlay,Triple,NoShift,91.74381,69.98221,146.44482,53.30055,102.78096,-64.14288,151.96905,-32.47428,274.94032,-142.74255,334.71043,-8.01528,265.69595,140.4926,,,,,,,,,,,,,,,true
68681bed-db8e-4225-a851-7378338e231e,5,09679180-d044-11ee-a8a3-5134ba1e6d0b,c837f904-9bd7-4668-b51b-b74884c6a87a,2024-02-20,18:01:51.71,2024-02-20,23:01:51.71,2024-02-20T18:01:51.7177142-05:00,2024-02-20T23:01:51.7177142Z,CEN_COL,ASB_UNI,StrikeCalled,Undefined,NoShift,89.68841,67.63826,144.17005,46.27954,86.54777,-61.08263,147.49674,-42.05955,275.07752,-140.95973,347.31331,-9.20199,269.66548,139.33314,,,,,,,,,,,,,,,true
68681bed-db8e-4225-a851-7378338e231e,6,11680f90-d044-11ee-a8a3-5134ba1e6d0b,25372ea0-5df8-4fcd-93bc-e47ccae77c3d,2024-02-20,18:02:05.78,2024-02-20,23:02:05.78,2024-02-20T18:02:05.7891638-05:00,2024-02-20T23:02:05.7891638Z,CEN_COL,ASB_UNI,BallCalled,Undefined,NoShift,91.97318,68.53877,149.42491,43.92454,86.55463,-60.84074,145.84897,-41.17423,272.88472,-140.08331,339.28139,-7.86071,277.16228,142.80814,,,,,,,,,,,,,,,true
68681bed-db8e-4225-a851-7378338e231e,7,1b5c6e60-d044-11ee-a8a3-5134ba1e6d0b,ca478ca5-ee50-4d6e-a19e-64fee8c6d863,2024-02-20,18:02:22.38,2024-02-20,23:02:22.38,2024-02-20T18:02:22.3857462-05:00,2024-02-20T23:02:22.3857462Z,CEN_COL,ASB_UNI,StrikeCalled,Undefined,NoShift,90.26117,68.93586,147.73607,41.36827,87.33214,-61.77524,148.67335,-40.02773,276.17528,-141.87089,340.3771,-7.65909,266.41041,139.09147,,,,,,,,,,,,,,,true
68681bed-db8e-4225-a851-7378338e231e,8,2661c800-d044-11ee-a8a3-5134ba1e6d0b,4042defe-2d3a-437e-8f1f-8264422701ef,2024-02-20,18:02:40.85,2024-02-20,23:02:40.85,2024-02-20T18:02:40.8549174-05:00,2024-02-20T23:02:40.8549174Z,CEN_COL,ASB_UNI,BallCalled,Undefined,NoShift,92.16689,69.78028,148.04836,42.0441,88.59136,-62.96417,149.48523,-43.08741,273.97663,-141.61069,347.01934,-6.61694,263.30735,139.3553,,,,,,,,,,,,,,,true
68681bed-db8e-4225-a851-7378338e231e,9,3255a050-d044-11ee-a8a3-5134ba1e6d0b,25b4830c-8e23-4c06-ac65-fd6983a282a2,2024-02-20,18:03:00.97,2024-02-20,23:03:00.97,2024-02-20T18:03:00.9764150-05:00,2024-02-20T23:03:00.9764150Z,CEN_COL,ASB_UNI,StrikeSwinging,Undefined,NoShift,93.54139,72.07263,146.0857,46.85912,87.33852,-62.51364,146.17183,-43.77618,273.73065,-141.70212,340.18283,-6.74724,262.35492,138.87489,,,,,,,,,,,,,,,true
68681bed-db8e-4225-a851-7378338e231e,10,43fd95b0-d044-11ee-a8a3-5134ba1e6d0b,71848151-2510-48f7-b6a4-557b52a5e385,2024-02-20,18:03:30.62,2024-02-20,23:03:30.62,2024-02-20T18:03:30.6231606-05:00,2024-02-20T23:03:30.6231606Z,CEN_COL,ASB_UNI,StrikeCalled,Undefined,NoShift,94.09261,72.93701,,,92.22783,-67.44313,151.24377,-45.1269,277.18077,-144.01734,343.30535,-7.44782,274.84185,146.4304,,,,,,,,,,,,,,,true
