PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-02-20,18:00:20.50,1,1,"Livengood, Josh",10072811,Right,CEN_COL,"Billington, Andrew",1000230192,Right,ASB_UNI,Undefined,1,Top,0,0,0,Fastball,Cutter,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.36853,-2.62462,-0.684682,1908.168014,170.168731,11:45,7.22395,0.74106,6.14473,-15.08328,21.97761,-3.60508,3.53989,-0.19207,79.15605,-5.524508,-1.334743,0.438157,,,,,,,,,,,,1.66929,12.42075,-0.68719,50,7.01601,1.64237,-125.40304,-6.11605,2.66307,24.92681,-12.35908,CEN_COL,ASB_UNI,GaryWright,D3,Team,20240220-GaryWright-1,d2b6ddd0-d043-11ee-a8a3-5134ba1e6d0b,86.02503,,,7.21247,,,,,,,68681bed-db8e-4225-a851-7378338e231e,2024-02-20,23:00:20.50,2024-02-20T18:00:20.5075254-05:00,2024-02-20T23:00:20.5075254Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,118a32ae-5844-40de-b4fe-cda77ebc0d30,54.35091,-126.26493,12.4634,7.22009,-5.68872,-6.17954,-0.74239,1.55029,1.33154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-02-20,18:00:34.11,1,2,"Livengood, Josh",10072811,Right,CEN_COL,"Billington, Andrew",1000230192,Right,ASB_UNI,Undefined,1,Top,0,0,1,Fastball,Cutter,BallCalled,Undefined,Undefined,Undefined,0,0,,86.63279,-2.552542,-2.225092,1924.478699,168.896554,11:45,7.28135,0.73001,6.08829,-16.06678,20.86832,-3.86878,3.57795,-1.65168,79.49484,-5.619006,-2.920956,0.437412,,,,,,,,,,,,1.3878,11.80438,-0.55644,50,7.07562,5.03945,-125.7093,-6.02374,2.22644,24.87302,-13.23638,CEN_COL,ASB_UNI,GaryWright,D3,Team,20240220-GaryWright-1,dacc4370-d043-11ee-a8a3-5134ba1e6d0b,86.17141,,,7.13795,,,,,,,68681bed-db8e-4225-a851-7378338e231e,2024-02-20,23:00:34.11,2024-02-20T18:00:34.1133622-05:00,2024-02-20T23:00:34.1133622Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,e681e873-d525-4f46-8d6a-4404bc843d77,54.4076,-126.57839,12.43651,7.27801,-5.56125,-6.61819,-0.73116,4.96165,1.11322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-02-20,18:00:48.03,1,3,"Livengood, Josh",10072811,Right,CEN_COL,"Billington, Andrew",1000230192,Right,ASB_UNI,Undefined,1,Top,0,1,1,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,78.87469,-0.55307,-0.936018,1856.860496,132.167661,10:30,7.12404,1.02034,5.48232,-39.87136,5.95898,-4.90638,3.28389,-0.26434,72.133,-7.868505,-1.810983,0.487246,,,,,,,,,,,,2.1874,3.64807,-0.93492,50,7.04879,2.06496,-114.43683,-2.42033,2.88436,22.22727,-27.36363,CEN_COL,ASB_UNI,GaryWright,D3,Team,20240220-GaryWright-1,e32541c0-d043-11ee-a8a3-5134ba1e6d0b,77.3582,,,6.74169,,,,,,,68681bed-db8e-4225-a851-7378338e231e,2024-02-20,23:00:48.03,2024-02-20T18:00:48.0389430-05:00,2024-02-20T23:00:48.0389430Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,16374333-e2f2-40bb-b1d9-7ae05ffc8860,55.01277,-115.40637,11.11364,7.12833,-1.22676,-13.68181,-1.02225,1.93915,1.44218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-02-20,18:01:02.69,1,4,"Livengood, Josh",10072811,Right,CEN_COL,"Billington, Andrew",1000230192,Right,ASB_UNI,Undefined,1,Top,0,1,2,Slider,Slider,InPlay,Undefined,LineDrive,Triple,0,0,,78.71162,-1.397885,-1.207967,1861.247507,133.285988,10:30,7.09688,0.90959,5.56908,-41.33101,4.67831,-3.31575,2.34634,-0.49523,71.99213,-8.969336,-1.800651,0.488196,89.93647,26.563723,4.20853,2752.998151,108.9901,48.33626,14.86737,340.3105,339.35187,14.6567,4.429057,1.31941,3.23043,-0.80325,50,6.94933,2.53458,-114.17558,-4.12668,1.72598,22.79092,-27.94818,CEN_COL,ASB_UNI,GaryWright,D3,Team,20240220-GaryWright-1,ebde3a60-d043-11ee-a8a3-5134ba1e6d0b,77.20759,62.31622,,6.71949,,,,1.24445,2.38325,0.47739,68681bed-db8e-4225-a851-7378338e231e,2024-02-20,23:01:02.69,2024-02-20T18:01:02.6938678-05:00,2024-02-20T23:01:02.6938678Z,LineDrive,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,3e8ea7ca-5000-4c7a-8e8e-a74e3300bc18,54.9276,-115.15499,11.39546,7.10087,-2.92564,-13.97409,-0.91058,2.46041,0.86299,215.460724,1.24404,117.6767,-19.80798,4.48669,-1.05955,0.26682,-0.05863,0.00815,-0.00048,2.38445,58.95516,-15.45683,0.24673,0.3322,-0.20189,0.06085,-0.00903,0.00052,0.47725,8.66096,5.91053,-1.72713,0.41944,-0.0824,0.01254,-0.00133,7E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2024-02-20,18:01:51.71,2,1,"Livengood, Josh",10072811,Right,CEN_COL,"Brown, Noah",1000059628,Right,ASB_UNI,Undefined,1,Top,0,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,77.57312,-1.117842,-0.63305,1800.67038,90.271605,9:00,7.049,1.10009,5.71108,-45.14565,1.44496,-8.07622,2.24528,-0.1627,71.79272,-9.358997,-2.081327,0.49127,,,,,,,,,,,,3.9478,1.4678,-1.04204,50,6.92741,1.54464,-112.71917,-3.63824,5.08909,20.11231,-30.28193,CEN_COL,ASB_UNI,GaryWright,D3,Team,20240220-GaryWright-1,09679180-d044-11ee-a8a3-5134ba1e6d0b,76.72442,,,5.7804,,,,,,,68681bed-db8e-4225-a851-7378338e231e,2024-02-20,23:01:51.71,2024-02-20T18:01:51.7177142-05:00,2024-02-20T23:01:51.7177142Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,c837f904-9bd7-4668-b51b-b74884c6a87a,54.78725,-113.57014,10.05616,7.05425,-2.35699,-15.14097,-1.10284,1.32932,2.54455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-02-20,18:02:05.78,2,2,"Livengood, Josh",10072811,Right,CEN_COL,"Brown, Noah",1000059628,Right,ASB_UNI,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.66061,-2.381094,-2.368634,2057.511119,187.855554,12:15,7.24766,1.3576,6.20731,-15.79717,20.05938,2.61445,3.73046,-0.6119,80.46931,-5.40411,-1.897222,0.430978,,,,,,,,,,,,-1.98102,11.35985,-1.18106,50,7.06058,5.15869,-127.24331,-5.70012,-3.26087,25.12981,-13.47508,CEN_COL,ASB_UNI,GaryWright,D3,Team,20240220-GaryWright-1,11680f90-d044-11ee-a8a3-5134ba1e6d0b,87.45784,,,7.1913,,,,,,,68681bed-db8e-4225-a851-7378338e231e,2024-02-20,23:02:05.78,2024-02-20T18:02:05.7891638-05:00,2024-02-20T23:02:05.7891638Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,25372ea0-5df8-4fcd-93bc-e47ccae77c3d,54.28868,-128.0875,12.56491,7.24447,-5.24744,-6.73754,-1.3562,5.26823,-1.63043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-02-20,18:02:22.38,2,3,"Livengood, Josh",10072811,Right,CEN_COL,"Brown, Noah",1000059628,Right,ASB_UNI,Undefined,1,Top,0,1,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.40202,0.661144,-1.2147,1798.029647,64.02695,8:15,7.05236,1.466,5.5488,-50.57184,-2.08126,-7.363,3.45601,-0.28281,70.31996,-8.564485,-2.529433,0.501187,,,,,,,,,,,,3.37118,-0.75221,-1.35598,50,7.07622,2.63178,-110.95282,-0.3705,4.19648,20.11349,-33.11042,CEN_COL,ASB_UNI,GaryWright,D3,Team,20240220-GaryWright-1,1b5c6e60-d044-11ee-a8a3-5134ba1e6d0b,75.2063,,,6.08205,,,,,,,68681bed-db8e-4225-a851-7378338e231e,2024-02-20,23:02:22.38,2024-02-20T18:02:22.3857462-05:00,2024-02-20T23:02:22.3857462Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,ca478ca5-ee50-4d6e-a19e-64fee8c6d863,54.94917,-111.8464,10.05675,7.06,1.1005,-16.55521,-1.46877,2.44534,2.09824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-02-20,18:02:40.85,2,4,"Livengood, Josh",10072811,Right,CEN_COL,"Brown, Noah",1000059628,Right,ASB_UNI,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,87.75609,-2.189606,-1.704951,1957.581561,175.315164,11:45,7.30939,1.00879,6.13084,-14.64796,21.17281,-1.64532,4.06303,-0.70464,80.60353,-5.001601,-2.001329,0.430763,,,,,,,,,,,,0.39634,11.84335,-0.87778,50,7.13418,3.86008,-127.44463,-5.24145,0.65501,25.01029,-12.60159,CEN_COL,ASB_UNI,GaryWright,D3,Team,20240220-GaryWright-1,2661c800-d044-11ee-a8a3-5134ba1e6d0b,87.50148,,,7.15256,,,,,,,68681bed-db8e-4225-a851-7378338e231e,2024-02-20,23:02:40.85,2024-02-20T18:02:40.8549174-05:00,2024-02-20T23:02:40.8549174Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,4042defe-2d3a-437e-8f1f-8264422701ef,54.36516,-128.29841,12.50514,7.30576,-4.81127,-6.3008,-1.00917,3.83772,0.3275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-02-20,18:03:00.97,2,5,"Livengood, Josh",10072811,Right,CEN_COL,"Brown, Noah",1000059628,Right,ASB_UNI,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,87.55554,-4.133262,-1.500982,2044.276743,182.760495,12:00,7.20334,1.15185,6.17598,-13.43875,22.56249,1.03402,2.25845,-0.14845,80.6046,-6.714616,-1.314497,0.431847,,,,,,,,,,,,-0.92441,13.0915,-1.03891,50,6.88323,3.28539,-126.9576,-9.49467,-1.51807,24.4961,-10.67555,CEN_COL,ASB_UNI,GaryWright,D3,Team,20240220-GaryWright-1,3255a050-d044-11ee-a8a3-5134ba1e6d0b,87.28189,,,6.95094,,,,,,,68681bed-db8e-4225-a851-7378338e231e,2024-02-20,23:03:00.97,2024-02-20T18:03:00.9764150-05:00,2024-02-20T23:03:00.9764150Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,25b4830c-8e23-4c06-ac65-fd6983a282a2,54.32041,-127.78849,12.24805,7.19914,-9.13256,-5.33777,-1.15123,3.33689,-0.75903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-02-20,18:03:30.62,3,1,"Livengood, Josh",10072811,Right,CEN_COL,"Dugle, Kaden",1000230149,Right,ASB_UNI,Undefined,1,Top,1,0,0,ChangeUp,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,80.58345,-2.404202,-2.373139,1835.593662,159.551006,11:15,7.1263,1.18295,5.6015,-35.39215,7.96016,-2.48638,1.92934,-1.24089,74.66265,-8.864331,-2.817164,0.47389,,,,,,,,,,,,0.64287,5.07059,-0.9781,50,6.89731,4.94176,-116.90589,-6.07136,0.89501,20.81042,-25.11496,CEN_COL,ASB_UNI,GaryWright,D3,Team,20240220-GaryWright-1,43fd95b0-d044-11ee-a8a3-5134ba1e6d0b,79.53836,,,5.9208,,,,,,,68681bed-db8e-4225-a851-7378338e231e,2024-02-20,23:03:30.62,2024-02-20T18:03:30.6231606-05:00,2024-02-20T23:03:30.6231606Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,71848151-2510-48f7-b6a4-557b52a5e385,54.89569,-117.77415,10.40521,7.12876,-5.0235,-12.55748,-1.1835,4.90442,0.4475,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
