GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
480a9339-9f63-4e63-982a-6345cde74b20,1,44d87280-dc0f-11ee-a3cf-af68eeb68705,139fe51d-f6c3-4b68-982f-32d40910a803,2024-03-06,18:14:22.68,2024-03-06,23:14:22.68,2024-03-06T18:14:22.6863524-05:00,2024-03-06T23:14:22.6863524Z,CEN_COL,TRA_UNI,StrikeCalled,Undefined,NoShift,92.13974,73.28736,147.70963,47.77904,80.1952,-53.32279,151.1213,-40.60799,275.68024,-139.99847,346.77637,-6.47595,275.13961,151.34051,,,,,,,,,,,,,,,true
480a9339-9f63-4e63-982a-6345cde74b20,2,4cc73d50-dc0f-11ee-a3cf-af68eeb68705,6ce025c5-1038-435b-b358-fbcbf180ea25,2024-03-06,18:14:35.92,2024-03-06,23:14:35.92,2024-03-06T18:14:35.9242660-05:00,2024-03-06T23:14:35.9242660Z,CEN_COL,TRA_UNI,BallCalled,Undefined,NoShift,93.98041,74.63225,147.63605,48.31395,91.26298,-63.18756,151.37548,-39.09295,275.83686,-140.26351,349.43557,-6.56451,279.81318,153.55966,,,,,,,,,,,,,,,true
480a9339-9f63-4e63-982a-6345cde74b20,3,55326410-dc0f-11ee-a3cf-af68eeb68705,b5175532-5aec-4001-ba6c-fae415661340,2024-03-06,18:14:50.01,2024-03-06,23:14:50.01,2024-03-06T18:14:50.0137892-05:00,2024-03-06T23:14:50.0137892Z,CEN_COL,TRA_UNI,BallCalled,Undefined,NoShift,91.27109,73.79339,148.31758,48.57713,92.55017,-64.37242,,,277.76043,-142.22716,348.94996,-7.88439,276.10341,151.00128,,,,,,,,,,,,,,,true
480a9339-9f63-4e63-982a-6345cde74b20,4,5d46b840-dc0f-11ee-a3cf-af68eeb68705,cc9b1fd4-b1c1-4565-9d9d-b8f67ba4c29a,2024-03-06,18:15:03.63,2024-03-06,23:15:03.63,2024-03-06T18:15:03.6361636-05:00,2024-03-06T23:15:03.6361636Z,CEN_COL,TRA_UNI,BallCalled,Undefined,NoShift,93.3069,75.41773,148.1471,49.06282,89.14539,-62.46353,,,276.62377,-141.82789,348.46629,-6.62826,276.64055,150.79026,,,,,,,,,,,,,,,true
480a9339-9f63-4e63-982a-6345cde74b20,5,66d59e80-dc0f-11ee-a3cf-af68eeb68705,98252905-2560-4ed6-80a2-cffb9d5ebbb2,2024-03-06,18:15:19.67,2024-03-06,23:15:19.67,2024-03-06T18:15:19.6709796-05:00,2024-03-06T23:15:19.6709796Z,CEN_COL,TRA_UNI,BallCalled,Undefined,NoShift,91.99199,74.64732,147.40995,48.62661,95.26568,-67.31181,,,277.70291,-142.6388,349.86918,-8.65442,277.63054,152.59926,,,,,,,,,,,,,,,true
480a9339-9f63-4e63-982a-6345cde74b20,6,7dc1d820-dc0f-11ee-a3cf-af68eeb68705,be9e0a46-f8ba-44f6-8c57-1e2e3320b4ab,2024-03-06,18:15:58.09,2024-03-06,23:15:58.09,2024-03-06T18:15:58.0911524-05:00,2024-03-06T23:15:58.0911524Z,CEN_COL,TRA_UNI,StrikeCalled,Undefined,NoShift,67.33351,60.28728,139.96243,28.92302,81.3353,-53.84133,147.88088,-28.42663,275.93395,-142.36783,347.29223,-7.28332,282.81165,152.68118,,,,,,,,,,,,,,,true
480a9339-9f63-4e63-982a-6345cde74b20,7,9695e490-dc0f-11ee-a3cf-af68eeb68705,842b4ce8-f80b-46ad-83f5-7f5331aeacf3,2024-03-06,18:16:39.70,2024-03-06,23:16:39.70,2024-03-06T18:16:39.7069220-05:00,2024-03-06T23:16:39.7069220Z,CEN_COL,TRA_UNI,FoulBall,Undefined,NoShift,65.98063,61.04563,134.98025,28.87736,69.96056,-45.58449,147.31864,-25.03862,276.9645,-143.95105,325.39792,-6.41109,275.56912,147.14554,,,,,,,,,,,,,,,true
480a9339-9f63-4e63-982a-6345cde74b20,8,a4b4b330-dc0f-11ee-a3cf-af68eeb68705,12865ab6-cc88-48d1-bc23-07210cf0f002,2024-03-06,18:17:03.40,2024-03-06,23:17:03.40,2024-03-06T18:17:03.4077604-05:00,2024-03-06T23:17:03.4077604Z,CEN_COL,TRA_UNI,StrikeCalled,Undefined,NoShift,66.42554,60.11071,139.82947,28.38183,90.83236,-61.39235,149.32894,-28.12489,275.26679,-142.2951,343.06472,-5.97245,269.72894,145.82976,,,,,,,,,,,,,,,true
480a9339-9f63-4e63-982a-6345cde74b20,9,b5e0e8e0-dc0f-11ee-a3cf-af68eeb68705,9e002149-4568-4f91-81fa-2b5f55cc3259,2024-03-06,18:17:32.18,2024-03-06,23:17:32.18,2024-03-06T18:17:32.1889188-05:00,2024-03-06T23:17:32.1889188Z,CEN_COL,TRA_UNI,StrikeCalled,Undefined,NoShift,63.32197,59.19239,129.12352,55.25997,113.49904,-58.73791,151.65522,-6.18919,278.18152,-139.31472,359.305,13.93597,273.87682,167.7305,,,,,,,,,,,,,,,true
480a9339-9f63-4e63-982a-6345cde74b20,10,c1a0dff0-dc0f-11ee-a3cf-af68eeb68705,ed899400-94c3-444f-9049-7a62adb3c576,2024-03-06,18:17:52.01,2024-03-06,23:17:52.01,2024-03-06T18:17:52.0157604-05:00,2024-03-06T23:17:52.0157604Z,CEN_COL,TRA_UNI,FoulBall,Undefined,NoShift,63.8351,59.51737,130.31675,55.28551,113.59365,-59.22276,153.26957,-3.91733,279.40932,-139.04075,362.76312,16.1458,290.2212,176.21818,,,,,,,,,,,,,,,true
