PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-02-10,13:48:37.98,1,1,"Schira, TJ",10095495,Right,CEN_COL,"Jackson, Conner",90000255767,Right,CEN_COL,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.80285,-1.241931,-2.229299,2102.521193,240.127492,2:00,5.36544,1.10525,5.80219,-27.86738,10.40985,15.90363,1.88707,0.3562,78.21754,-6.429707,0.620941,0.445289,,,,,,,,,,,,-8.72989,6.06276,-0.93155,50,5.24691,4.18257,-124.48352,-3.61207,-13.62893,26.17361,-22.70902,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240210-GaryWright-Private-2,00c6a0e0-c845-11ee-be97-fb9fca8bee39,84.6472,,,7.58531,,,,,,,bddab60a-a8ce-4012-a4c8-85d1b008651e,2024-02-10,18:48:37.98,2024-02-10T13:48:37.9898520-05:00,2024-02-10T18:48:37.9898520Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,843dca5f-683f-4446-baa9-fe2390235b63,54.69432,-125.46666,13.0868,5.36657,-2.75907,-11.35451,-1.09827,4.6945,-6.81447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-02-10,13:48:51.45,1,2,"Schira, TJ",10095495,Right,CEN_COL,"Jackson, Conner",90000255767,Right,CEN_COL,Undefined,1,Top,0,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.67696,0.296739,-2.416762,2658.271569,75.36258,8:30,5.03192,1.2859,5.09532,-52.17082,-1.59244,-12.32453,0.96425,-2.01996,69.51927,-9.128947,-4.595481,0.511863,,,,,,,,,,,,5.37925,-0.32697,-1.04768,50,5.01942,5.12179,-109.69683,-1.22761,6.51684,20.45012,-32.57016,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240210-GaryWright-Private-2,08cee720-c845-11ee-be97-fb9fca8bee39,73.63773,,,6.15769,,,,,,,bddab60a-a8ce-4012-a4c8-85d1b008651e,2024-02-10,18:48:51.45,2024-02-10T13:48:51.4555032-05:00,2024-02-10T18:48:51.4555032Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,cb015f58-859b-4f55-8ef8-2e06daf26716,55.40209,-110.69933,10.22506,5.04046,0.36904,-16.28508,-1.29093,4.80233,3.25842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-02-10,13:49:09.47,1,3,"Schira, TJ",10095495,Right,CEN_COL,"Jackson, Conner",90000255767,Right,CEN_COL,Undefined,1,Top,0,1,1,Fastball,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,85.59955,-1.857332,-3.493461,2083.251792,248.741265,2:15,5.30803,1.10307,5.75872,-31.33876,7.19666,15.2478,0.96387,-0.88198,78.30963,-7.642289,-0.765595,0.446788,,,,,,,,,,,,-8.78603,4.57437,-0.82276,50,5.1348,6.94915,-124.06057,-5.08618,-13.65254,25.50455,-25.06595,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240210-GaryWright-Private-2,13873230-c845-11ee-be97-fb9fca8bee39,84.36315,,,7.28993,,,,,,,bddab60a-a8ce-4012-a4c8-85d1b008651e,2024-02-10,18:49:09.47,2024-02-10T13:49:09.4731416-05:00,2024-02-10T18:49:09.4731416Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,43c59c33-62f1-4ed9-b1f3-36417bee13de,54.73935,-125.0311,12.75228,5.3102,-4.13235,-12.53298,-1.09708,7.46867,-6.82627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-02-10,13:49:24.33,1,4,"Schira, TJ",10095495,Right,CEN_COL,"Jackson, Conner",90000255767,Right,CEN_COL,Undefined,1,Top,0,2,1,Slider,Curveball,InPlay,Undefined,Popup,Out,1,0,,76.40055,0.578774,-0.59872,2531.398477,53.976232,7:45,5.26009,1.02603,5.28532,-54.77377,-5.66461,-9.94426,1.23916,-0.3649,70.22273,-9.347574,-2.367664,0.504374,63.90362,40.246392,-2.007462,4370.167838,109.99031,58.46237,1.45418,201.64415,195.27076,3.342441,4.109693,4.83985,-2.61284,-0.9638,50,5.27231,1.53955,-110.92707,-0.73193,5.99865,20.81772,-35.41251,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240210-GaryWright-Private-2,1c6d7c60-c845-11ee-be97-fb9fca8bee39,74.73113,58.47914,,6.17782,,,,1.76079,1.35147,0.34438,bddab60a-a8ce-4012-a4c8-85d1b008651e,2024-02-10,18:49:24.33,2024-02-10T13:49:24.3334296-05:00,2024-02-10T18:49:24.3334296Z,Popup,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,f774f374-769e-4a93-9f1e-9cbd04b2130c,55.21484,-111.90147,10.40886,5.26778,0.92559,-17.70625,-1.02929,1.25878,2.99933,189.127645,1.76262,71.44351,-11.76416,2.39256,0.0419,-0.27446,0.09871,-0.015,0.00086,1.35006,60.58738,-17.60451,1.1601,-0.33703,0.09978,-0.00961,-0.00125,0.00021,0.34402,-2.49443,1.76656,0.0644,-0.1889,0.09503,-0.02691,0.00398,-0.00024,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2024-02-10,13:49:54.16,2,1,"Schira, TJ",10095495,Right,CEN_COL,"Carter, Ethan",1000280109,Right,CEN_COL,Undefined,1,Top,1,0,0,Fastball,Sinker,InPlay,Undefined,LineDrive,HomeRun,0,0,,86.64145,-0.092478,-2.252213,2169.027015,244.328328,2:15,5.48913,0.93607,5.69359,-27.32667,10.38174,18.9795,3.12566,0.41773,78.75857,-5.185325,1.140751,0.441968,94.83654,29.99194,-17.623091,2319.179523,103.60142,57.25721,-36.96768,395.20283,346.73544,-22.823144,5.248908,-10.33642,5.66969,-0.75904,50,5.46443,4.14749,-125.72252,-1.11594,-16.43717,27.02323,-23.158,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240210-GaryWright-Private-2,2e2c5520-c845-11ee-be97-fb9fca8bee39,85.28327,80.59839,,7.88288,,,,1.75704,3.23778,-0.42878,bddab60a-a8ce-4012-a4c8-85d1b008651e,2024-02-10,18:49:54.16,2024-02-10T13:49:54.1650584-05:00,2024-02-10T18:49:54.1650584Z,FlyBall,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,3bd21e2d-45eb-4015-8dfe-04c58b041329,54.80433,-126.75097,13.51162,5.49012,-0.23459,-11.579,-0.92879,4.77306,-8.21859,149.346739,1.76164,114.72193,-19.95129,4.36523,-0.5894,-0.03632,0.02396,-0.00224,3E-05,3.24028,69.49072,-17.92151,1.06772,-0.01124,-0.02145,0.00969,-0.00184,0.00011,-0.43296,-36.38147,-0.08278,2.06951,-1.2014,0.45191,-0.10596,0.01316,-0.00065,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,
6,2024-02-10,13:50:42.69,3,1,"Schira, TJ",10095495,Right,CEN_COL,"Maggard, Matthew",1000190343,Right,CEN_COL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.33768,-1.138709,-3.061357,2131.079525,222.26795,1:30,5.33713,1.04915,5.82699,-19.64891,18.72131,15.68261,2.63954,-0.49249,77.34934,-4.904784,-0.254449,0.445829,,,,,,,,,,,,-8.94524,10.31985,-0.8079,50,5.23261,6.00777,-124.96311,-3.03758,-13.86664,29.79864,-16.17652,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240210-GaryWright-Private-2,4b204a10-c845-11ee-be97-fb9fca8bee39,84.54459,,,8.98835,,,,,,,bddab60a-a8ce-4012-a4c8-85d1b008651e,2024-02-10,18:50:42.69,2024-02-10T13:50:42.6934424-05:00,2024-02-10T18:50:42.6934424Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,de67d8d4-aa31-461e-92df-1e9e4cc2866c,54.66599,-126.07084,14.89932,5.33436,-2.43623,-8.08826,-1.04081,6.52325,-6.93332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-02-10,13:50:57.43,3,2,"Schira, TJ",10095495,Right,CEN_COL,"Maggard, Matthew",1000190343,Right,CEN_COL,Undefined,1,Top,1,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.99935,1.581255,-1.456382,2648.610902,63.463734,8:00,5.23682,1.20395,5.11296,-56.21916,-5.81866,-15.08599,2.04239,-1.42551,69.2388,-8.60601,-4.125833,0.510962,,,,,,,,,,,,6.99847,-2.81984,-1.05474,50,5.34222,3.40788,-110.14155,1.08184,8.48787,21.87983,-35.59398,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240210-GaryWright-Private-2,53e41820-c845-11ee-be97-fb9fca8bee39,73.76757,,,6.76055,,,,,,,bddab60a-a8ce-4012-a4c8-85d1b008651e,2024-02-10,18:50:57.43,2024-02-10T13:50:57.4341272-05:00,2024-02-10T18:50:57.4341272Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,364e46ab-8162-41c9-ad94-b168b694df4d,55.38512,-111.20616,10.93992,5.24745,2.81376,-17.79699,-1.21052,2.99488,4.24393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-02-10,13:51:14.68,3,3,"Schira, TJ",10095495,Right,CEN_COL,"Maggard, Matthew",1000190343,Right,CEN_COL,Undefined,1,Top,1,1,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.43731,3.139618,0.218752,2717.319242,60.400432,8:00,5.03261,1.2876,5.12258,-57.06074,-5.57205,-13.09957,3.2377,0.402,67.97514,-7.255079,-2.098944,0.516449,,,,,,,,,,,,6.51477,-3.16232,-1.29769,50,5.28404,0.11583,-109.15715,4.01046,7.72095,22.39297,-35.92185,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240210-GaryWright-Private-2,5e2cb170-c845-11ee-be97-fb9fca8bee39,72.98386,,,7.46218,,,,,,,bddab60a-a8ce-4012-a4c8-85d1b008651e,2024-02-10,18:51:14.68,2024-02-10T13:51:14.6879640-05:00,2024-02-10T18:51:14.6879640Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,fe1ec6d3-8e9f-4ff0-a29f-8682a6be14bf,55.37379,-110.25404,11.19649,5.0445,5.77005,-17.96093,-1.2941,-0.26238,3.86047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-02-10,13:51:31.20,3,4,"Schira, TJ",10095495,Right,CEN_COL,"Maggard, Matthew",1000190343,Right,CEN_COL,Undefined,1,Top,1,1,2,Fastball,Changeup,InPlay,Undefined,GroundBall,Single,0,0,,86.12051,-1.545165,-2.501893,2256.314141,235.356684,1:45,5.27651,1.16388,5.68406,-25.82171,12.72938,16.38851,1.68275,0.19612,77.74963,-6.379308,0.427612,0.446879,56.07996,-50.68635,-13.249138,,,,,3.38984,2.52647,-8.515221,0.027084,-9.1404,7.36646,-0.96376,50,5.13044,4.76089,-124.76609,-4.20519,-14.18953,28.65044,-20.73836,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240210-GaryWright-Private-2,68085820-c845-11ee-be97-fb9fca8bee39,84.34599,1.73044,,8.37088,,,,1.97315,1.73044,-0.17718,bddab60a-a8ce-4012-a4c8-85d1b008651e,2024-02-10,18:51:31.20,2024-02-10T13:51:31.2075416-05:00,2024-02-10T18:51:31.2075416Z,GroundBall,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,8e2e373e-bb57-4f25-b242-0e729433ba9d,54.81206,-125.86624,14.32522,5.27663,-3.40886,-10.36918,-1.15704,5.30576,-7.09477,,1.97226,50.92691,,,,,,,,1.73155,-63.89089,,,,,,,,-0.17697,-11.99089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
10,2024-02-10,13:52:10.48,4,1,"Schira, TJ",10095495,Right,CEN_COL,"Monaco, Robert",1000126732,Right,CEN_COL,Undefined,1,Top,1,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.64553,0.132973,-3.482552,2199.772485,246.285868,2:15,5.28328,0.87274,5.82324,-28.65218,9.9656,19.62466,3.01945,-0.73345,77.49601,-5.223241,0.029149,0.447265,,,,,,,,,,,,-11.01701,5.44575,-0.59923,50,5.27743,6.72859,-124.10591,-0.64343,-17.01509,27.09761,-23.76342,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240210-GaryWright-Private-2,7f6db960-c845-11ee-be97-fb9fca8bee39,84.27313,,,8.14951,,,,,,,bddab60a-a8ce-4012-a4c8-85d1b008651e,2024-02-10,18:52:10.48,2024-02-10T13:52:10.4807064-05:00,2024-02-10T18:52:10.4807064Z,,v3,,,,"Nadreau, Perry",1000077820,Right,CEN_COL,5ec5ad28-57ee-4ce2-b254-1096c114f96e,54.67303,-125.12207,13.54881,5.28485,0.2477,-11.88171,-0.86351,7.36666,-8.50755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
