PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-02-03,12:28:36.75,1,1,"Christmas, Aidan",1000241979,Right,CEN_COL,"Cunningham, Josh",1000241980,Right,CEN_COL,Undefined,1,Top,0,0,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,89.87571,-1.908714,-4.255867,2356.044238,223.921121,1:30,5.33738,1.61657,6.52496,-20.02029,13.38733,12.00981,1.91245,-1.29419,83.37486,-5.681865,-2.08224,0.416001,,,,,,,,,,,,-7.30752,7.77056,-1.32523,50,5.19542,9.25424,-130.49204,-4.93297,-12.79839,23.41233,-18.56472,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240203-GaryWright-Private-1,aa1c1710-c2b9-11ee-a63f-87825570e9f2,90.60666,,,6.50085,,,,,,,cd9df7ca-465a-4d02-9340-7dab150f407e,2024-02-03,17:28:36.75,2024-02-03T12:28:36.7579264-05:00,2024-02-03T17:28:36.7579264Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,f7b6d073-83d8-485d-b4d8-876e7ffb2eb0,53.97464,-131.20321,11.70617,5.3367,-4.36904,-9.28236,-1.61224,9.643,-6.39919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-02-03,12:28:49.01,1,2,"Christmas, Aidan",1000241979,Right,CEN_COL,"Cunningham, Josh",1000241980,Right,CEN_COL,Undefined,1,Top,0,1,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,70.87984,3.270627,-0.483351,2592.419929,51.273244,7:45,5.69707,1.54545,5.89252,-65.11362,-9.06552,-13.57583,3.31095,-0.03465,64.80545,-8.687922,-2.9205,0.53883,,,,,,,,,,,,6.74981,-4.98646,-1.49895,50,5.9239,1.3356,-102.84597,3.96341,7.16913,18.38561,-37.47029,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240203-GaryWright-Private-1,b17383e0-c2b9-11ee-a63f-87825570e9f2,69.95236,,,6.07439,,,,,,,cd9df7ca-465a-4d02-9340-7dab150f407e,2024-02-03,17:28:49.01,2024-02-03T12:28:49.0128512-05:00,2024-02-03T17:28:49.0128512Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,ce0a2cf4-5962-496f-81a4-c5404305234a,54.60787,-103.66644,9.19281,5.70972,5.63554,-18.73514,-1.55142,1.01567,3.58456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-02-03,12:29:01.00,1,3,"Christmas, Aidan",1000241979,Right,CEN_COL,"Cunningham, Josh",1000241980,Right,CEN_COL,Undefined,1,Top,0,1,1,Slider,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.91167,-2.513534,-3.340684,2271.281192,219.268116,1:15,5.86227,1.60448,6.71869,-21.71363,14.73013,11.17339,1.74997,-0.52136,79.43693,-6.624193,-1.306981,0.434493,,,,,,,,,,,,-6.75693,8.76012,-1.3874,50,5.68696,6.88867,-124.78303,-6.05186,-10.75531,22.8664,-18.23018,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240203-GaryWright-Private-1,b88d4b70-c2b9-11ee-a63f-87825570e9f2,86.75038,,,6.47474,,,,,,,cd9df7ca-465a-4d02-9340-7dab150f407e,2024-02-03,17:29:01.00,2024-02-03T12:29:01.0006144-05:00,2024-02-03T17:29:01.0006144Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,9814733c-bf9b-45e9-8bb6-9b568f64b576,53.78018,-125.47384,11.4332,5.86146,-5.50113,-9.11509,-1.60041,7.2136,-5.37766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-02-03,12:29:16.87,1,4,"Christmas, Aidan",1000241979,Right,CEN_COL,"Cunningham, Josh",1000241980,Right,CEN_COL,Undefined,1,Top,0,1,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.84276,-0.007269,-4.93285,2440.203775,116.337491,10:00,5.0209,2.05621,5.79621,-38.68912,6.69748,-10.75134,1.79002,-3.43929,72.61304,-7.105387,-6.844053,0.484881,,,,,,,,,,,,4.09736,3.86457,-1.64341,50,4.9973,10.25506,-114.12456,-1.21947,5.40255,21.04842,-27.07841,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240203-GaryWright-Private-1,c20f1250-c2b9-11ee-a63f-87825570e9f2,77.73543,,,6.22971,,,,,,,cd9df7ca-465a-4d02-9340-7dab150f407e,2024-02-03,17:29:16.87,2024-02-03T12:29:16.8739968-05:00,2024-02-03T17:29:16.8739968Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,cc0c586d-d40d-4104-8022-30cd2843b88b,54.70071,-114.98826,10.52421,5.02454,-0.10833,-13.53921,-2.05967,10.03338,2.70127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-02-03,12:29:32.14,1,5,"Christmas, Aidan",1000241979,Right,CEN_COL,"Cunningham, Josh",1000241980,Right,CEN_COL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,89.88279,-1.577589,-4.414915,2378.97534,219.857432,1:15,5.38683,1.87372,6.46656,-18.22997,15.15402,11.91186,2.41408,-1.19646,83.53541,-5.021354,-2.262733,0.415854,,,,,,,,,,,,-7.22441,8.57859,-1.56682,50,5.26679,9.61771,-130.51516,-4.11692,-12.69933,22.55059,-17.09429,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240203-GaryWright-Private-1,cb1f2ba0-c2b9-11ee-a63f-87825570e9f2,90.63871,,,6.34737,,,,,,,cd9df7ca-465a-4d02-9340-7dab150f407e,2024-02-03,17:29:32.14,2024-02-03T12:29:32.1456768-05:00,2024-02-03T17:29:32.1456768Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,0a1ae564-4d16-4bb0-be0e-b717692b431c,54.03293,-131.21013,11.2753,5.38555,-3.59011,-8.54715,-1.86925,10.00908,-6.34967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-02-03,12:29:57.55,2,1,"Christmas, Aidan",1000241979,Right,CEN_COL,"Austin, Chase",1000235133,Left,CEN_COL,Undefined,1,Top,1,0,0,Fastball,Sinker,InPlay,Undefined,GroundBall,Single,0,0,,89.42507,-0.828911,-2.905584,2227.498434,232.797358,1:45,5.25935,2.22103,6.34956,-23.86312,9.87875,11.86217,2.50674,0.53275,83.24737,-5.284217,-0.760454,0.418077,,,,,,,,,,,,-6.89461,5.61811,-2.01571,50,5.18766,6.15462,-130.11251,-2.62333,-12.04052,22.50688,-22.36273,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240203-GaryWright-Private-1,da42e720-c2b9-11ee-a63f-87825570e9f2,90.15677,,,6.1777,,,,,,,cd9df7ca-465a-4d02-9340-7dab150f407e,2024-02-03,17:29:57.55,2024-02-03T12:29:57.5548032-05:00,2024-02-03T17:29:57.5548032Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,fb7c8ca2-a44b-4b7b-ace5-9f44b212d828,54.1513,-130.82863,11.25344,5.25981,-1.9118,-11.18137,-2.21763,6.53773,-6.02026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-02-03,12:30:28.01,3,1,"Christmas, Aidan",1000241979,Right,CEN_COL,"Prather, Ben",1000190341,Right,CEN_COL,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,73.48366,2.15632,-1.987657,2514.206227,50.615226,7:45,5.65429,1.56156,6.17399,-61.02771,-9.65969,-13.69442,2.56223,-1.41606,67.64195,-9.070189,-4.457911,0.515843,,,,,,,,,,,,6.48142,-5.09666,-1.40463,50,5.78713,4.16807,-106.75613,2.24749,7.44176,19.25306,-38.02588,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240203-GaryWright-Private-1,ec7716f0-c2b9-11ee-a63f-87825570e9f2,73.06955,,,5.8417,,,,,,,cd9df7ca-465a-4d02-9340-7dab150f407e,2024-02-03,17:30:28.01,2024-02-03T12:30:28.0197248-05:00,2024-02-03T17:30:28.0197248Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,e2b30cc0-7db3-4328-b4b8-d52a7205660e,54.3273,-107.53371,9.62653,5.66534,3.78326,-19.01294,-1.5669,3.86751,3.72088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-02-03,12:30:45.72,3,2,"Christmas, Aidan",1000241979,Right,CEN_COL,"Prather, Ben",1000190341,Right,CEN_COL,Undefined,1,Top,1,1,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.44755,-2.444327,-3.352632,2296.619264,219.898831,1:15,5.78974,1.68957,6.65759,-20.32926,13.95961,10.883,1.85365,-0.475,82.13496,-6.282055,-1.374304,0.421452,,,,,,,,,,,,-6.52548,8.24658,-1.46809,50,5.61666,7.12726,-128.51492,-6.0492,-11.07987,22.82561,-18.17186,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240203-GaryWright-Private-1,f6fd5580-c2b9-11ee-a63f-87825570e9f2,89.43472,,,6.3126,,,,,,,cd9df7ca-465a-4d02-9340-7dab150f407e,2024-02-03,17:30:45.72,2024-02-03T12:30:45.7201792-05:00,2024-02-03T17:30:45.7201792Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,c7540133-2e36-4ddd-82c6-6843f65342f3,53.8415,-129.1954,11.4128,5.78892,-5.50745,-9.08593,-1.6855,7.45758,-5.53994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-02-03,12:31:06.93,3,3,"Christmas, Aidan",1000241979,Right,CEN_COL,"Prather, Ben",1000190341,Right,CEN_COL,Undefined,1,Top,1,1,1,Slider,Slider,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,76.37946,1.076446,-1.796688,2286.399973,95.481885,9:15,4.81862,2.26741,5.81846,-44.84128,2.95126,-16.38025,2.08327,-0.76861,70.61219,-7.157915,-4.729593,0.497567,,,,,,,,,,,,7.88252,1.66606,-2.11072,50,4.88017,4.07631,-110.98813,0.70908,9.87412,19.07423,-30.08702,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240203-GaryWright-Private-1,03a6c230-c2ba-11ee-a63f-87825570e9f2,75.75351,,,5.76727,,,,,,,cd9df7ca-465a-4d02-9340-7dab150f407e,2024-02-03,17:31:06.93,2024-02-03T12:31:06.9347456-05:00,2024-02-03T17:31:06.9347456Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,06eeb7c3-9897-4580-bbd3-350540ab4088,54.68067,-111.78965,9.53711,4.82382,1.97337,-15.04351,-2.27329,3.66139,4.93706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-02-03,12:31:26.97,3,4,"Christmas, Aidan",1000241979,Right,CEN_COL,"Prather, Ben",1000190341,Right,CEN_COL,Undefined,1,Top,1,1,2,Curveball,Curveball,InPlay,Undefined,FlyBall,Out,1,0,,74.04611,2.75343,0.016059,2654.107883,24.397045,6:45,5.84401,1.48813,6.14379,-68.45964,-17.8154,-8.80087,2.68534,0.76957,68.06121,-9.815575,-1.574813,0.512196,84.93238,50.1527,-14.337513,,107.26428,132.03827,-24.3798,197.25708,105.05522,-14.09168,6.264676,4.5717,-9.62001,-1.48482,50,6.01847,0.26557,-107.63637,3.14421,5.32871,19.80993,-43.38693,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240203-GaryWright-Private-1,0f9a7370-c2ba-11ee-a63f-87825570e9f2,73.58983,136.52673,,5.9849,,,,1.00344,2.82874,-0.725,cd9df7ca-465a-4d02-9340-7dab150f407e,2024-02-03,17:31:26.97,2024-02-03T12:31:26.9726848-05:00,2024-02-03T17:31:26.9726848Z,FlyBall,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,68d05715-c9f4-422f-9aef-3104c3a0f139,54.3601,-108.43586,9.90497,5.85624,4.89521,-21.69347,-1.4912,0.05051,2.66435,184.572837,0.99894,77.37798,-24.69177,7.08702,-1.53879,0.23298,-0.0203,0.00077,0,2.8163,95.86326,-20.20829,1.70972,-0.55657,0.19733,-0.03869,0.00372,-0.00014,-0.72233,-19.80109,8.55712,-3.16166,0.86091,-0.17072,0.02176,-0.00156,5E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
