PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-02-04,12:27:41.62,1,1,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Cunningham, Josh",1000241980,Right,CEN_COL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,86.64859,-1.481744,-1.967936,2085.305076,203.114004,12:45,6.19976,0.74013,5.64936,-16.41544,20.98989,8.46851,3.44867,-0.39036,79.48811,-4.599345,-0.456023,0.440188,,,,,,,,,,,,-4.79717,11.37642,-0.57867,50,6.06372,3.96119,-125.78236,-3.72313,-7.72575,24.2566,-13.85246,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240204-GaryWright-Private-1,b3ab5920-c382-11ee-ba23-9363285c762e,85.62803,,,7.16048,,,,,,,707488ea-b9ba-4f55-8106-833180c053a5,2024-02-04,17:27:41.62,2024-02-04T12:27:41.6249454-05:00,2024-02-04T17:27:41.6249454Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,fd56a629-49b4-44de-86fc-cece8a16c5e0,54.84707,-126.71365,12.1283,6.19646,-3.19129,-6.92623,-0.73645,4.25781,-3.86288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-02-04,12:27:55.58,1,2,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Cunningham, Josh",1000241980,Right,CEN_COL,Undefined,1,Top,0,0,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.3812,0.435037,-2.006889,2093.616117,206.754955,1:00,6.23175,0.79484,5.56008,-16.34493,21.50308,10.24989,5.27636,-0.22671,78.87486,-2.683397,-0.180426,0.442785,,,,,,,,,,,,-5.688,11.07611,-0.62828,50,6.25869,3.94791,-125.36904,0.49333,-9.07634,24.72563,-14.49982,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240204-GaryWright-Private-1,bbfbcbf0-c382-11ee-ba23-9363285c762e,85.12579,,,7.50634,,,,,,,707488ea-b9ba-4f55-8106-833180c053a5,2024-02-04,17:27:55.58,2024-02-04T12:27:55.5856494-05:00,2024-02-04T17:27:55.5856494Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,ccfc4688-ad8d-4f33-a5cd-eacb6eaf07d8,54.9355,-126.33868,12.36282,6.2282,1.06196,-7.24991,-0.79009,4.30385,-4.53817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-02-04,12:28:08.19,1,3,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Cunningham, Josh",1000241980,Right,CEN_COL,Undefined,1,Top,0,1,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.67363,1.385251,-1.481911,2217.873838,8.437653,6:15,5.97425,0.87008,4.98139,-69.51858,-18.8769,-3.03469,1.4899,-0.78256,69.81732,-11.06676,-2.019354,0.512183,,,,,,,,,,,,1.07095,-9.31815,-0.72457,50,6.05033,2.96205,-109.84913,0.16286,1.30144,20.45272,-43.49757,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240204-GaryWright-Private-1,c3801520-c382-11ee-ba23-9363285c762e,73.5917,,,5.85631,,,,,,,707488ea-b9ba-4f55-8106-833180c053a5,2024-02-04,17:28:08.19,2024-02-04T12:28:08.1914478-05:00,2024-02-04T17:28:08.1914478Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,44e55d56-90d6-4d84-a1cc-4e55393e279a,55.52221,-110.87254,10.22636,5.98773,2.33938,-21.74878,-0.87116,2.89693,0.65072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-02-04,12:28:22.51,1,4,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Cunningham, Josh",1000241980,Right,CEN_COL,Undefined,1,Top,0,2,1,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.91753,-3.495026,-3.101818,2162.066961,206.745628,1:00,6.12219,0.75872,5.62701,-16.81666,20.54052,9.76111,1.45081,-1.32494,79.89956,-6.664516,-1.361681,0.439905,,,,,,,,,,,,-5.77654,11.703,-0.50082,50,5.81323,6.4128,-125.89693,-8.19747,-9.32245,24.23684,-13.28717,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240204-GaryWright-Private-1,cc046930-c382-11ee-ba23-9363285c762e,85.6832,,,7.01797,,,,,,,707488ea-b9ba-4f55-8106-833180c053a5,2024-02-04,17:28:22.51,2024-02-04T12:28:22.5117806-05:00,2024-02-04T17:28:22.5117806Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,d694203c-c99b-427c-828e-16bd4abf95e0,54.87082,-126.83116,12.11842,6.11933,-7.6853,-6.64358,-0.75493,6.77214,-4.66122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2024-02-04,12:28:35.39,1,5,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Cunningham, Josh",1000241980,Right,CEN_COL,Undefined,1,Top,0,3,1,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,86.67098,-2.014231,-1.717536,2142.891485,209.153689,1:00,6.1948,0.76667,5.23552,-17.48761,20.64229,10.83138,2.84266,0.05446,79.26258,-5.30496,0.202209,0.444431,,,,,,,,,,,,-5.92252,11.26205,-0.61721,50,5.99698,3.29623,-125.69872,-4.97754,-9.48387,25.27124,-14.1399,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240204-GaryWright-Private-1,d3b20c50-c382-11ee-ba23-9363285c762e,84.81056,,,7.4084,,,,,,,707488ea-b9ba-4f55-8106-833180c053a5,2024-02-04,17:28:35.39,2024-02-04T12:28:35.3989230-05:00,2024-02-04T17:28:35.3989230Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,7fb29266-3cae-4d5d-8668-21a8d33d8874,55.26231,-126.75227,12.63562,6.1922,-4.38805,-7.06995,-0.76287,3.69161,-4.74194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-02-04,12:29:07.40,1,6,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Cunningham, Josh",1000241980,Right,CEN_COL,Undefined,1,Top,0,3,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,87.4191,-2.281458,-2.737293,2195.81196,201.670998,12:45,6.15311,1.05196,5.45168,-13.97418,23.79108,8.90241,2.84926,-0.77063,78.77391,-4.992868,-1.155287,0.442301,,,,,,,,,,,,-5.30575,13.04556,-0.81649,50,5.94242,5.64568,-126.47639,-5.40015,-8.48325,28.9027,-11.31572,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240204-GaryWright-Private-1,e6cf3c90-c382-11ee-ba23-9363285c762e,85.21904,,,8.64519,,,,,,,707488ea-b9ba-4f55-8106-833180c053a5,2024-02-04,17:29:07.40,2024-02-04T12:29:07.4096750-05:00,2024-02-04T17:29:07.4096750Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,c7408d7f-0d48-483a-8eb9-8ebc5b5fad01,55.04163,-127.62331,14.45135,6.14781,-4.95112,-5.65786,-1.04721,5.98231,-4.24163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-02-04,12:29:31.91,2,1,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Austin, Chase",1000235133,Left,CEN_COL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,86.78923,-3.808829,-1.741037,2132.803294,202.437953,12:45,6.2133,0.66168,5.23725,-14.34583,23.80596,9.31178,1.43102,-0.19922,79.40871,-6.533044,-0.090807,0.444558,75.67759,65.524444,-53.463456,3448.61541,,,,,131.24531,,,-5.17469,13.37056,-0.50893,50,5.85253,3.41509,-125.6701,-8.7917,-8.28019,25.32868,-10.77943,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240204-GaryWright-Private-1,f55f6aa0-c382-11ee-ba23-9363285c762e,84.78626,110.78678,,7.38051,,,,3.66399,1.09231,0.28325,707488ea-b9ba-4f55-8106-833180c053a5,2024-02-04,17:29:31.91,2024-02-04T12:29:31.9130734-05:00,2024-02-04T17:29:31.9130734Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,48c724ad-0973-4d25-bb6e-a124cdda541c,55.26082,-126.72598,12.66434,6.20967,-8.34234,-5.38971,-0.65849,3.76027,-4.1401,64.327662,3.66481,27.34839,-2.62957,-0.48186,0.61809,-0.33179,0.08886,-0.01087,0.00045,1.09316,100.98504,-29.72378,3.65601,0.08474,-0.54682,0.24354,-0.0472,0.00346,0.28244,-36.92244,-3.6855,3.10279,-1.14445,0.29077,-0.01973,-0.00729,0.00113,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Low,,,
8,2024-02-04,12:29:51.41,2,2,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Austin, Chase",1000235133,Left,CEN_COL,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.6716,-2.355687,-2.752372,2139.985426,206.944432,1:00,6.24057,0.65951,5.41985,-13.5769,24.53954,11.81418,2.8988,-0.9361,78.78821,-4.97818,-0.654003,0.444352,,,,,,,,,,,,-6.70189,13.37005,-0.4234,50,6.02212,5.51203,-125.52525,-5.51881,-10.65489,26.25485,-10.91796,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240204-GaryWright-Private-1,00feba50-c383-11ee-ba23-9363285c762e,84.82556,,,7.88339,,,,,,,707488ea-b9ba-4f55-8106-833180c053a5,2024-02-04,17:29:51.41,2024-02-04T12:29:51.4185838-05:00,2024-02-04T17:29:51.4185838Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,ff4c0876-ec44-4ff8-b9b5-0e18979ec0ad,55.07558,-126.5824,13.12742,6.23549,-5.07919,-5.45898,-0.65398,5.94105,-5.32745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-02-04,12:30:11.35,2,3,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Austin, Chase",1000235133,Left,CEN_COL,Undefined,1,Top,1,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,86.52298,0.190301,-2.545648,2173.010907,208.032307,1:00,6.14145,0.85766,5.48075,-15.58339,22.31316,11.24611,5.02106,-0.58853,78.91425,-2.790018,-0.545636,0.443069,,,,,,,,,,,,-6.32174,11.5167,-0.64195,50,6.1478,5.08549,-125.5063,-0.01518,-10.10111,24.983,-13.7722,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240204-GaryWright-Private-1,0cebb4d0-c383-11ee-ba23-9363285c762e,85.07131,,,7.60873,,,,,,,707488ea-b9ba-4f55-8106-833180c053a5,2024-02-04,17:30:11.35,2024-02-04T12:30:11.3515118-05:00,2024-02-04T17:30:11.3515118Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,5c17cca7-0f0c-44f7-9024-84df21c4dc6e,55.01477,-126.50059,12.4915,6.13749,0.53293,-6.8861,-0.85234,5.4875,-5.05055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-02-04,12:30:25.74,2,4,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Austin, Chase",1000235133,Left,CEN_COL,Undefined,1,Top,1,1,2,Fastball,Four-Seam,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,86.8053,-3.135594,-2.816114,2127.621452,219.972923,1:15,6.25542,0.61976,5.23453,-18.34292,19.86131,15.5832,1.77308,-0.73073,79.28603,-6.572982,-0.055971,0.444864,,,,,,,,,,,,-8.55626,11.17182,-0.37255,50,5.95318,5.48447,-125.65462,-7.47762,-13.67198,25.59665,-14.32265,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240204-GaryWright-Private-1,157f9940-c383-11ee-ba23-9363285c762e,84.72803,,,7.51927,,,,,,,707488ea-b9ba-4f55-8106-833180c053a5,2024-02-04,17:30:25.74,2024-02-04T12:30:25.7437294-05:00,2024-02-04T17:30:25.7437294Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,eab09d0a-5fd0-44d7-9602-6a1d4dfd1e9d,55.26219,-126.72203,12.79833,6.25255,-6.88035,-7.16132,-0.61314,6.0546,-6.83599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.40345,,,0.857935,,,,0.53673,4.92232,5.54369,69.11421,8.65406,55.66145,0.70546,86.90753,-8.28142,5.00203,16.16901,-13.84831,5.58504,61.07408,-3.13454,High,High,High,,,High,High,High
