PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-02-10,11:46:10.04,1,1,"Prather, Ben",1000190341,Right,CEN_COL,"Jackson, Conner",90000255767,Right,CEN_COL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Single,0,0,,88.25449,-2.145419,-2.132577,2038.795092,223.153479,1:30,5.37305,0.71278,6.20312,-21.57749,14.04379,12.05934,1.59235,-0.25161,80.50184,-6.221088,0.044518,0.429562,53.82463,-4.155615,-5.262371,,,,,9.84606,8.41904,-1.696445,0.076539,-6.91091,8.26434,-0.55864,50,5.20091,4.29486,-128.09877,-5.44033,-11.42596,27.69408,-18.51044,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240210-GaryWright-Private-1,e504ac00-c833-11ee-b29a-4dec34496138,87.74615,0.43823,,7.75265,,,,3.83571,0.43823,0.2617,535d879f-3c6e-4817-b1ed-253c73f800b6,2024-02-10,16:46:10.04,2024-02-10T11:46:10.0420864-05:00,2024-02-10T16:46:10.0420864Z,GroundBall,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,cb66c95a-86df-440b-a98c-2035f4a6adab,54.29484,-129.02395,13.84704,5.37233,-4.82195,-9.25522,-0.70849,4.67657,-5.71298,180,3.83489,78.47025,,,,,,,,0.43828,-5.72552,,,,,,,,0.26177,-7.22749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
2,2024-02-10,11:46:46.29,2,1,"Prather, Ben",1000190341,Right,CEN_COL,"Carter, Ethan",1000280109,Right,CEN_COL,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.95479,-0.680365,-3.632158,1962.552099,226.827908,1:30,5.30191,0.63628,6.13308,-21.40245,14.62292,14.3058,2.88825,-1.5331,79.94966,-4.736763,-1.059177,0.431992,,,,,,,,,,,,-8.41268,8.10182,-0.3658,50,5.23876,7.50839,-127.53226,-2.14743,-13.79083,27.36656,-18.89282,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240210-GaryWright-Private-1,faa5ef10-c833-11ee-b29a-4dec34496138,87.25267,,,8.00513,,,,,,,535d879f-3c6e-4817-b1ed-253c73f800b6,2024-02-10,16:46:46.29,2024-02-10T11:46:46.2941952-05:00,2024-02-10T16:46:46.2941952Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,d0116747-a80c-4259-ad81-37e4f572b9e7,54.36324,-128.46514,13.68328,5.30098,-1.50341,-9.44641,-0.62976,7.9785,-6.89542,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2024-02-10,11:47:18.48,2,2,"Prather, Ben",1000190341,Right,CEN_COL,"Carter, Ethan",1000280109,Right,CEN_COL,Undefined,1,Top,0,0,1,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.24067,1.506334,-0.816879,1876.544979,74.726629,8:30,5.06344,0.94275,5.48751,-51.30991,-2.79217,-15.35485,2.19728,-1.10108,70.51122,-7.834417,-3.553477,0.501328,,,,,,,,,,,,7.52792,-1.36362,-0.86055,50,5.1605,2.1597,-110.79097,1.22695,9.40161,18.90404,-33.87709,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240210-GaryWright-Private-1,0ddb6240-c834-11ee-b29a-4dec34496138,75.18524,,,5.72945,,,,,,,535d879f-3c6e-4817-b1ed-253c73f800b6,2024-02-10,16:47:18.48,2024-02-10T11:47:18.4861952-05:00,2024-02-10T16:47:18.4861952Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,2acd8ca5-bd26-4cbd-9e5b-666f2c2e9983,55.01288,-111.64304,9.45202,5.07078,2.75389,-16.93855,-0.94835,1.73594,4.70081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-02-10,11:47:40.42,2,3,"Prather, Ben",1000190341,Right,CEN_COL,"Carter, Ethan",1000280109,Right,CEN_COL,Undefined,1,Top,0,0,2,Cutter,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,81.7856,0.606268,-1.108271,2090.387182,198.936026,12:45,5.1007,1.11003,5.75351,-36.80427,5.99626,1.50764,2.59816,0.20388,73.47961,-6.243692,-0.838277,0.470865,,,,,,,,,,,,-1.15106,3.27288,-1.01906,50,5.12876,2.23399,-118.55039,0.06929,-1.60256,27.25267,-27.6175,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240210-GaryWright-Private-1,1aecdf90-c834-11ee-b29a-4dec34496138,80.04942,,,8.30598,,,,,,,535d879f-3c6e-4817-b1ed-253c73f800b6,2024-02-10,16:47:40.42,2024-02-10T11:47:40.4215040-05:00,2024-02-10T16:47:40.4215040Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,7d256934-ff37-47f6-b573-6803ef5e7136,54.74215,-119.63556,13.62634,5.10411,1.16899,-13.80875,-1.10928,2.29781,-0.80128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,,,2,4,"Prather, Ben",1000190341,Right,CEN_COL,"Carter, Ethan",1000280109,Right,CEN_COL,Undefined,1,Top,0,0,2,Fastball,,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240210-GaryWright-Private-1,23615520-c834-11ee-b29a-4dec34496138,,,,,,,,,,,535d879f-3c6e-4817-b1ed-253c73f800b6,,,,,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2024-02-10,11:48:09.13,2,5,"Prather, Ben",1000190341,Right,CEN_COL,"Carter, Ethan",1000280109,Right,CEN_COL,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,88.64993,-2.989207,-2.63583,2111.786305,212.074026,1:00,5.79987,0.09745,6.19495,-17.28489,17.99056,10.55237,1.59449,-1.45822,81.05645,-6.281776,-0.732882,0.427472,,,,,,,,,,,,-6.19276,10.50048,0.09589,50,5.56568,5.49095,-128.55229,-7.19203,-10.3538,26.86882,-14.61811,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240210-GaryWright-Private-1,2c07d730-c834-11ee-b29a-4dec34496138,88.17522,,,7.59347,,,,,,,535d879f-3c6e-4817-b1ed-253c73f800b6,2024-02-10,16:48:09.13,2024-02-10T11:48:09.1363584-05:00,2024-02-10T16:48:09.1363584Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,d246d659-1bf7-4ed4-bae8-2bf672980943,54.30185,-129.4483,13.43441,5.79739,-6.70455,-7.30905,-0.09298,5.83622,-5.1769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-02-10,11:48:29.93,2,6,"Prather, Ben",1000190341,Right,CEN_COL,"Carter, Ethan",1000280109,Right,CEN_COL,Undefined,1,Top,0,2,2,Slider,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,76.92552,2.164581,-1.234571,1808.64215,73.273562,8:30,5.07328,1.04666,5.40135,-52.00105,-3.49654,-16.94084,2.76956,-1.52207,70.14045,-7.327092,-4.245532,0.501259,,,,,,,,,,,,8.10189,-1.90276,-0.92455,50,5.23003,3.06957,-111.55153,2.46641,10.11595,21.77175,-34.54981,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240210-GaryWright-Private-1,3873c5b0-c834-11ee-b29a-4dec34496138,75.1955,,,6.78507,,,,,,,535d879f-3c6e-4817-b1ed-253c73f800b6,2024-02-10,16:48:29.93,2024-02-10T11:48:29.9309824-05:00,2024-02-10T16:48:29.9309824Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,3d447504-2a16-4439-88ea-ac1e586786d1,55.09715,-112.54195,10.88587,5.08208,4.03812,-17.2749,-1.05372,2.60939,5.05798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2024-02-10,11:49:07.58,3,1,"Prather, Ben",1000190341,Right,CEN_COL,"Maggard, Matthew",1000190343,Right,CEN_COL,Undefined,1,Top,1,0,0,Fastball,Sinker,InPlay,Undefined,LineDrive,Double,0,0,,89.37108,-0.631174,-2.527824,2143.319479,232.775019,1:45,5.31769,0.71619,5.96589,-22.91608,12.21261,14.51135,2.82222,-0.41977,81.12368,-4.945718,0.078569,0.426582,84.49017,12.042256,31.55552,3681.728276,89.83313,11.65087,63.4819,173.03362,170.48697,37.792841,1.682545,-8.24831,6.80922,-0.52403,50,5.25493,5.12229,-129.6841,-2.16084,-13.93727,29.0954,-20.66841,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240210-GaryWright-Private-1,4ed2da80-c834-11ee-b29a-4dec34496138,88.35924,12.47879,,8.2474,,,,1.75833,2.84696,0.38761,535d879f-3c6e-4817-b1ed-253c73f800b6,2024-02-10,16:49:07.58,2024-02-10T11:49:07.5837696-05:00,2024-02-10T16:49:07.5837696Z,LineDrive,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,af70c483-b2e8-4bf3-968f-23703a059493,54.53181,-130.69689,14.5477,5.31763,-1.44139,-10.33421,-0.71078,5.60743,-6.96863,259.147107,1.75833,103.27155,-17.67164,3.22439,-0.67498,0.12797,-0.02441,0.00384,-0.00032,2.84696,25.85353,-18.37349,1.54647,-0.29188,0.06084,-0.01016,0.00159,-0.00015,0.38761,63.42263,0.30634,-0.6541,0.21619,-0.05596,0.01192,-0.00192,0.00016,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
9,2024-02-10,11:50:01.95,4,1,"Prather, Ben",1000190341,Right,CEN_COL,"Monaco, Robert",1000126732,Right,CEN_COL,Undefined,1,Top,1,0,0,Slider,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,76.13423,1.004298,-0.10056,1617.310252,61.823252,8:00,5.19259,0.83869,5.36565,-55.80412,-6.15158,-14.6354,1.48402,-0.47522,69.46141,-9.148899,-2.707202,0.507157,,,,,,,,,,,,7.29264,-2.8689,-0.81902,50,5.24324,0.76415,-110.46112,0.05379,8.89873,21.95171,-35.6748,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240210-GaryWright-Private-1,6f539fb0-c834-11ee-b29a-4dec34496138,74.3211,,,6.67282,,,,,,,535d879f-3c6e-4817-b1ed-253c73f800b6,2024-02-10,16:50:01.95,2024-02-10T11:50:01.9582208-05:00,2024-02-10T16:50:01.9582208Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,87bd886f-ddf3-47d9-9efe-0a581e0a5c60,55.13306,-111.47653,10.97586,5.20259,1.70399,-17.8374,-0.84484,0.35252,4.44937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-02-10,11:50:24.09,4,2,"Prather, Ben",1000190341,Right,CEN_COL,"Monaco, Robert",1000126732,Right,CEN_COL,Undefined,1,Top,1,0,1,Slider,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,77.31021,0.704708,-2.397178,1999.975282,74.132935,8:30,5.09129,0.74608,5.69401,-50.01129,-2.3265,-13.87591,1.58102,-2.64551,70.49131,-8.457036,-4.876343,0.497006,,,,,,,,,,,,6.27973,-0.90669,-0.53595,50,5.11961,5.21839,-112.10536,-0.23117,7.88366,22.82028,-33.31232,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240210-GaryWright-Private-1,7c817ea0-c834-11ee-b29a-4dec34496138,75.83905,,,6.8189,,,,,,,535d879f-3c6e-4817-b1ed-253c73f800b6,2024-02-10,16:50:24.09,2024-02-10T11:50:24.0910080-05:00,2024-02-10T16:50:24.0910080Z,,v3,,,,"Weyler, Evan",1000190342,Right,CEN_COL,7dfe2bc8-b33a-4221-a8dc-7ce2a5398339,54.80366,-113.07897,11.41014,5.09916,1.19007,-16.65616,-0.75142,4.88204,3.94183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
