PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,,,1,1,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Cunningham, Josh",1000241980,Right,CEN_COL,Undefined,1,Top,0,0,0,Fastball,,FoulBall,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240211-GaryWright-Private-1,d7d0eeb0-c8f9-11ee-83c7-9bb5658a2c11,,,,,,,,,,,2a952d84-d500-46d2-8e93-4f8fc0ad9072,,,,,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,1,2,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Cunningham, Josh",1000241980,Right,CEN_COL,Undefined,1,Top,0,0,1,Fastball,,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240211-GaryWright-Private-1,e2919e30-c8f9-11ee-83c7-9bb5658a2c11,,,,,,,,,,,2a952d84-d500-46d2-8e93-4f8fc0ad9072,,,,,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2024-02-11,11:23:46.49,1,3,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Cunningham, Josh",1000241980,Right,CEN_COL,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,84.99754,0.658722,-1.643902,2112.61265,206.008808,12:45,6.17754,0.91584,5.61898,-20.18044,19.17076,8.70678,5.11085,0.10686,76.96549,-3.175196,-0.09026,0.451493,,,,,,,,,,,,-4.86004,9.87595,-0.78114,50,6.22099,3.16366,-123.25746,0.82818,-7.42494,26.08016,-17.08601,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240211-GaryWright-Private-1,eec69e30-c8f9-11ee-83c7-9bb5658a2c11,83.48407,,,8.03205,,,,,,,2a952d84-d500-46d2-8e93-4f8fc0ad9072,2024-02-11,16:23:46.49,2024-02-11T11:23:46.4936868-05:00,2024-02-11T16:23:46.4936868Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,b2e5f76d-eb4f-4334-8d46-2fbf17072238,54.87481,-124.28465,13.04008,6.17512,1.50113,-8.54301,-0.9115,3.4561,-3.71247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2024-02-11,11:24:00.19,1,4,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Cunningham, Josh",1000241980,Right,CEN_COL,Undefined,1,Top,0,1,2,Fastball,Four-Seam,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,85.58574,-2.248985,-1.807532,2130.584127,187.46322,12:15,6.16576,0.84233,5.51504,-14.94891,23.85682,2.9578,2.81501,-0.60185,78.08113,-5.113287,-1.280847,0.448352,,,,,,,,,,,,-1.99559,13.03784,-0.68686,50,5.95999,3.78877,-124.07994,-5.27299,-3.10762,25.08768,-11.87113,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240211-GaryWright-Private-1,f6d65e80-c8f9-11ee-83c7-9bb5658a2c11,84.06879,,,7.50461,,,,,,,2a952d84-d500-46d2-8e93-4f8fc0ad9072,2024-02-11,16:24:00.19,2024-02-11T11:24:00.1930148-05:00,2024-02-11T16:24:00.1930148Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,a9313560-0935-46d8-ac08-d44c6e010dcc,54.98027,-125.08285,12.54384,6.1613,-4.79842,-5.93556,-0.8408,3.913,-1.55381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.23266,2.378438,1.31584,1.062598,-1.01939,2.59354,0.65581,-4.39604,5.44633,5.15086,69.91574,8.29611,54.85998,-4.22212,76.52949,-6.28836,5.51416,16.41831,-12.95615,5.20762,49.35631,-2.45022,High,High,High,,,High,High,High
5,2024-02-11,11:24:29.25,2,1,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Austin, Chase",1000235133,Left,CEN_COL,Undefined,1,Top,1,0,0,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,75.52397,0.342829,-1.005262,2282.153012,28.091273,7:00,5.93629,1.14155,5.26753,-63.51433,-13.08827,-7.85311,0.96552,-0.45727,69.55876,-11.106104,-2.404053,0.511092,,,,,,,,,,,,3.64914,-6.25103,-1.04357,50,5.9203,2.22243,-109.65532,-1.50532,4.40422,20.97495,-39.71856,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240211-GaryWright-Private-1,082cb170-c8fa-11ee-83c7-9bb5658a2c11,73.74885,,,5.96521,,,,,,,2a952d84-d500-46d2-8e93-4f8fc0ad9072,2024-02-11,16:24:29.25,2024-02-11T11:24:29.2510628-05:00,2024-02-11T16:24:29.2510628Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,5a35e942-d6f5-4ff0-bb1c-bfb9eb059464,55.23417,-110.65199,10.48747,5.94699,0.38199,-19.85928,-1.1442,2.01315,2.20211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-02-11,11:24:44.23,2,2,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Austin, Chase",1000235133,Left,CEN_COL,Undefined,1,Top,1,1,0,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,74.48987,1.720089,-0.869471,2297.383719,38.635945,7:15,5.95142,1.08244,5.29375,-67.15862,-14.99198,-13.41233,1.97053,-0.85166,68.00393,-10.432594,-3.256378,0.519838,,,,,,,,,,,,6.43319,-7.53969,-0.99318,50,6.05876,2.15199,-108.05394,0.97578,7.48491,21.62146,-40.94634,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240211-GaryWright-Private-1,112216d0-c8fa-11ee-83c7-9bb5658a2c11,72.50807,,,6.48594,,,,,,,2a952d84-d500-46d2-8e93-4f8fc0ad9072,2024-02-11,16:24:44.23,2024-02-11T11:24:44.2301860-05:00,2024-02-11T16:24:44.2301860Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,b8e6a2e4-cbe4-4614-a928-f4ed296ff45b,55.20774,-109.09102,10.81073,5.96486,2.93979,-20.47317,-1.0878,1.79298,3.74245,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-02-11,11:24:57.30,2,3,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Austin, Chase",1000235133,Left,CEN_COL,Undefined,1,Top,1,1,1,Fastball,Four-Seam,InPlay,Undefined,GroundBall,Out,1,0,,85.68121,-3.137299,-1.635142,2084.416431,206.491637,1:00,6.2153,0.77894,5.39378,-16.3328,22.86234,10.70422,1.90996,0.13817,77.74837,-6.249128,0.267796,0.450596,81.24966,9.639235,36.897863,3850.432986,,,,116.03601,112.37903,40.879313,1.100855,-5.91398,12.87733,-0.64099,50,5.92428,3.08595,-124.06815,-7.27344,-9.13763,26.84525,-12.27749,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240211-GaryWright-Private-1,18dc3d10-c8fa-11ee-83c7-9bb5658a2c11,83.65018,6.92094,,7.93284,,,,2.96105,2.22805,0.01837,2a952d84-d500-46d2-8e93-4f8fc0ad9072,2024-02-11,16:24:57.30,2024-02-11T11:24:57.3064100-05:00,2024-02-11T16:24:57.3064100Z,LineDrive,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,a6e3f7ba-ba67-4eaf-8f1f-69c89cbbb013,55.10311,-125.16746,13.42263,6.21183,-6.77068,-6.13874,-0.77502,3.46014,-4.56881,,2.96105,93.95201,-17.69457,2.51802,-0.26178,-0.43763,0.5343,-0.28344,0.05837,2.22805,19.95335,-22.34321,2.59957,-0.37573,-0.22107,0.34234,-0.18897,0.03968,0.01837,70.53642,-0.45118,-1.09908,0.06168,0.46825,-0.58721,0.32223,-0.06847,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
8,2024-02-11,11:25:26.33,3,1,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Prather, Ben",1000190341,Right,CEN_COL,Undefined,1,Top,2,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,85.24992,-1.465896,-0.252146,2120.793231,187.144849,12:15,6.20018,0.68489,5.3363,-17.79056,21.56993,2.5411,3.34209,0.6601,77.68028,-4.833846,0.199263,0.451546,,,,,,,,,,,,-1.33799,11.59497,-0.664,50,6.05558,0.43246,-123.64474,-3.69188,-2.06678,25.15611,-14.26344,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240211-GaryWright-Private-1,2a2c2760-c8fa-11ee-83c7-9bb5658a2c11,83.47426,,,7.56964,,,,,,,2a952d84-d500-46d2-8e93-4f8fc0ad9072,2024-02-11,16:25:26.33,2024-02-11T11:25:26.3351716-05:00,2024-02-11T16:25:26.3351716Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,5fa187a6-7d33-4c29-b095-d78733a138f7,55.15817,-124.68978,12.57806,6.19664,-3.09934,-7.13172,-0.68375,0.51832,-1.03339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-02-11,11:25:39.85,3,2,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Prather, Ben",1000190341,Right,CEN_COL,Undefined,1,Top,2,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,86.14842,-3.106673,-2.687831,2114.691402,204.805971,12:45,6.24908,0.6583,5.42988,-15.20245,23.52639,10.24367,2.06667,-1.00713,78.17827,-6.019282,-0.867749,0.447908,,,,,,,,,,,,-5.92177,13.12835,-0.42724,50,5.96323,5.40107,-124.64935,-7.18413,-9.25484,26.61427,-11.65642,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240211-GaryWright-Private-1,323e0a90-c8fa-11ee-83c7-9bb5658a2c11,84.1522,,,7.97014,,,,,,,2a952d84-d500-46d2-8e93-4f8fc0ad9072,2024-02-11,16:25:39.85,2024-02-11T11:25:39.8583204-05:00,2024-02-11T16:25:39.8583204Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,fd16bfb8-1d76-4704-889a-7fb39d8c95c7,55.06485,-125.72612,13.30714,6.24435,-6.71253,-5.82821,-0.65333,5.77551,-4.62742,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-02-11,11:25:55.13,3,3,"Cowdrey, Harrison",10148538,Right,CEN_COL,"Prather, Ben",1000190341,Right,CEN_COL,Undefined,1,Top,2,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,85.56837,-2.59359,-2.523341,2088.456622,193.687031,12:30,6.18332,0.60836,5.3197,-16.5769,22.70852,5.20378,2.36394,-1.32754,77.85806,-5.741035,-1.600647,0.451115,,,,,,,,,,,,-3.32622,12.50505,-0.38369,50,5.93676,5.23024,-123.88335,-6.09571,-5.14821,25.68287,-12.81911,CEN_COL,CEN_COL,GaryWright,TeamExclusive,Team,20240211-GaryWright-Private-1,3b50bbf0-c8fa-11ee-83c7-9bb5658a2c11,83.55402,,,7.71031,,,,,,,2a952d84-d500-46d2-8e93-4f8fc0ad9072,2024-02-11,16:25:55.13,2024-02-11T11:25:55.1321508-05:00,2024-02-11T16:25:55.1321508Z,,v3,,,,"Wilson, Wyatt",10033223,Right,CEN_COL,aef6c0c0-7af7-4cd4-b153-6e2a1e37fbf6,55.17502,-124.9516,12.84143,6.17921,-5.56251,-6.40955,-0.60569,5.44437,-2.5741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
