GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ,1B_Name,1B_Id,2B_Name,2B_Id,3B_Name,3B_Id,SS_Name,SS_Id,LF_Name,LF_Id,CF_Name,CF_Id,RF_Name,RF_Id,FHC
bddab60a-a8ce-4012-a4c8-85d1b008651e,1,00c6a0e0-c845-11ee-be97-fb9fca8bee39,843dca5f-683f-4446-baa9-fe2390235b63,2024-02-10,13:48:37.98,2024-02-10,18:48:37.98,2024-02-10T13:48:37.9898520-05:00,2024-02-10T18:48:37.9898520Z,CEN_COL,CEN_COL,StrikeCalled,Undefined,NoShift,94.06147,70.1991,154.53533,36.86866,83.2433,-57.16938,154.3077,-31.31079,262.92105,-132.90486,325.29368,-1.23063,264.18663,138.39983,,,,,,,,,,,,,,,true
bddab60a-a8ce-4012-a4c8-85d1b008651e,2,08cee720-c845-11ee-be97-fb9fca8bee39,cb015f58-859b-4f55-8ef8-2e06daf26716,2024-02-10,13:48:51.45,2024-02-10,18:48:51.45,2024-02-10T13:48:51.4555032-05:00,2024-02-10T18:48:51.4555032Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,88.47637,66.267,153.57441,36.53691,90.75406,-63.10838,152.37979,-29.7183,267.38957,-135.18847,331.32882,-1.23369,261.58826,136.11708,,,,,,,,,,,,,,,true
bddab60a-a8ce-4012-a4c8-85d1b008651e,3,13873230-c845-11ee-be97-fb9fca8bee39,43c59c33-62f1-4ed9-b1f3-36417bee13de,2024-02-10,13:49:09.47,2024-02-10,18:49:09.47,2024-02-10T13:49:09.4731416-05:00,2024-02-10T18:49:09.4731416Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,91.54201,70.76187,155.18519,35.05309,90.70041,-63.44792,153.88832,-26.99278,271.1125,-135.99849,326.42895,-1.17698,262.15634,141.99849,,,,,,,,,,,,,,,true
bddab60a-a8ce-4012-a4c8-85d1b008651e,4,1c6d7c60-c845-11ee-be97-fb9fca8bee39,f774f374-769e-4a93-9f1e-9cbd04b2130c,2024-02-10,13:49:24.33,2024-02-10,18:49:24.33,2024-02-10T13:49:24.3334296-05:00,2024-02-10T18:49:24.3334296Z,CEN_COL,CEN_COL,InPlay,Out,LeftInfieldShift,90.43766,69.28003,154.03566,-27.33696,94.88167,-67.06064,,,272.50785,-137.07813,324.85614,-1.49255,259.67623,140.44721,,,,,,,,,,,,,,,true
bddab60a-a8ce-4012-a4c8-85d1b008651e,5,2e2c5520-c845-11ee-be97-fb9fca8bee39,3bd21e2d-45eb-4015-8dfe-04c58b041329,2024-02-10,13:49:54.16,2024-02-10,18:49:54.16,2024-02-10T13:49:54.1650584-05:00,2024-02-10T18:49:54.1650584Z,CEN_COL,CEN_COL,InPlay,HomeRun,NoShift,93.33907,71.33186,152.34822,39.24686,98.84444,-78.05101,153.2849,-36.34378,270.39695,-136.91667,327.36859,-3.44421,268.91247,135.94103,,,,,,,,,,,,,,,true
bddab60a-a8ce-4012-a4c8-85d1b008651e,6,4b204a10-c845-11ee-be97-fb9fca8bee39,de67d8d4-aa31-461e-92df-1e9e4cc2866c,2024-02-10,13:50:42.69,2024-02-10,18:50:42.69,2024-02-10T13:50:42.6934424-05:00,2024-02-10T18:50:42.6934424Z,CEN_COL,CEN_COL,StrikeSwinging,Undefined,NoShift,90.02825,66.88793,,,102.50936,-76.80101,149.71727,-37.47938,278.75585,-140.55862,335.89113,-4.10247,268.49043,132.89225,,,,,,,,,,,,,,,true
bddab60a-a8ce-4012-a4c8-85d1b008651e,7,53e41820-c845-11ee-be97-fb9fca8bee39,364e46ab-8162-41c9-ad94-b168b694df4d,2024-02-10,13:50:57.43,2024-02-10,18:50:57.43,2024-02-10T13:50:57.4341272-05:00,2024-02-10T18:50:57.4341272Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,87.16335,65.78474,,,101.97055,-77.3672,154.22949,-40.00304,275.13858,-137.0362,334.79072,-5.55312,270.39215,135.41631,,,,,,,,,,,,,,,true
bddab60a-a8ce-4012-a4c8-85d1b008651e,8,5e2cb170-c845-11ee-be97-fb9fca8bee39,fe1ec6d3-8e9f-4ff0-a29f-8682a6be14bf,2024-02-10,13:51:14.68,2024-02-10,18:51:14.68,2024-02-10T13:51:14.6879640-05:00,2024-02-10T18:51:14.6879640Z,CEN_COL,CEN_COL,StrikeCalled,Undefined,NoShift,84.9051,64.11477,,,101.34936,-77.30166,149.65079,-38.68121,280.15044,-141.0799,335.23446,-3.90049,274.99255,136.62367,,,,,,,,,,,,,,,true
bddab60a-a8ce-4012-a4c8-85d1b008651e,9,68085820-c845-11ee-be97-fb9fca8bee39,8e2e373e-bb57-4f25-b242-0e729433ba9d,2024-02-10,13:51:31.20,2024-02-10,18:51:31.20,2024-02-10T13:51:31.2075416-05:00,2024-02-10T18:51:31.2075416Z,CEN_COL,CEN_COL,InPlay,Single,NoShift,90.93346,65.99891,152.76131,39.65151,101.08509,-76.67657,,,274.42494,-138.27501,334.79164,-3.58894,267.45961,137.7608,,,,,,,,,,,,,,,true
bddab60a-a8ce-4012-a4c8-85d1b008651e,10,7f6db960-c845-11ee-be97-fb9fca8bee39,5ec5ad28-57ee-4ce2-b254-1096c114f96e,2024-02-10,13:52:10.48,2024-02-10,18:52:10.48,2024-02-10T13:52:10.4807064-05:00,2024-02-10T18:52:10.4807064Z,CEN_COL,CEN_COL,StrikeCalled,Undefined,NoShift,69.05322,60.55888,148.98369,27.8847,92.65872,-58.50152,143.64517,-29.97223,269.90705,-138.60548,335.90437,-2.66851,260.39485,135.57064,,,,,,,,,,,,,,,true
