GameUID,PitchNo,PitchUID,PlayID,Date,Time,UTCDate,UTCTime,LocalDateTime,UTCDateTime,PitcherTeam,BatterTeam,PitchCall,PlayResult,DetectedShift,1B_PositionAtReleaseX,1B_PositionAtReleaseZ,2B_PositionAtReleaseX,2B_PositionAtReleaseZ,3B_PositionAtReleaseX,3B_PositionAtReleaseZ,SS_PositionAtReleaseX,SS_PositionAtReleaseZ,LF_PositionAtReleaseX,LF_PositionAtReleaseZ,CF_PositionAtReleaseX,CF_PositionAtReleaseZ,RF_PositionAtReleaseX,RF_PositionAtReleaseZ
707488ea-b9ba-4f55-8106-833180c053a5,1,b3ab5920-c382-11ee-ba23-9363285c762e,fd56a629-49b4-44de-86fc-cece8a16c5e0,2024-02-04,12:27:41.62,2024-02-04,17:27:41.62,2024-02-04T12:27:41.6249454-05:00,2024-02-04T17:27:41.6249454Z,CEN_COL,CEN_COL,StrikeSwinging,Undefined,NoShift,91.27823,71.4962,149.13736,40.59738,90.42301,-65.5067,142.81692,-39.56756,257.14192,-128.0779,309.92686,4.63748,260.40315,135.70258
707488ea-b9ba-4f55-8106-833180c053a5,2,bbfbcbf0-c382-11ee-ba23-9363285c762e,ccfc4688-ad8d-4f33-a5cd-eacb6eaf07d8,2024-02-04,12:27:55.58,2024-02-04,17:27:55.58,2024-02-04T12:27:55.5856494-05:00,2024-02-04T17:27:55.5856494Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,91.36973,71.16206,149.95161,41.56555,90.59084,-65.8272,141.95421,-39.57225,257.74193,-128.26751,313.61094,-0.03602,258.75545,136.72446
707488ea-b9ba-4f55-8106-833180c053a5,3,c3801520-c382-11ee-ba23-9363285c762e,44e55d56-90d6-4d84-a1cc-4e55393e279a,2024-02-04,12:28:08.19,2024-02-04,17:28:08.19,2024-02-04T12:28:08.1914478-05:00,2024-02-04T17:28:08.1914478Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,94.26419,72.89259,149.18291,42.33703,91.29808,-65.27844,143.29572,-38.35856,258.56918,-131.39642,320.00723,-0.6529,262.12699,138.67538
707488ea-b9ba-4f55-8106-833180c053a5,4,cc046930-c382-11ee-ba23-9363285c762e,d694203c-c99b-427c-828e-16bd4abf95e0,2024-02-04,12:28:22.51,2024-02-04,17:28:22.51,2024-02-04T12:28:22.5117806-05:00,2024-02-04T17:28:22.5117806Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,91.93993,72.17391,145.68143,43.03851,92.1132,-66.04753,141.30694,-37.58432,256.66558,-134.29298,322.23433,-1.06977,254.37857,135.63946
707488ea-b9ba-4f55-8106-833180c053a5,5,d3b20c50-c382-11ee-ba23-9363285c762e,7fb29266-3cae-4d5d-8668-21a8d33d8874,2024-02-04,12:28:35.39,2024-02-04,17:28:35.39,2024-02-04T12:28:35.3989230-05:00,2024-02-04T17:28:35.3989230Z,CEN_COL,CEN_COL,FoulBall,Undefined,NoShift,101.30328,70.16285,151.10816,35.55379,92.93358,-70.08243,145.82237,-41.4426,254.66795,-133.47358,326.08494,-1.73413,256.77035,137.24564
707488ea-b9ba-4f55-8106-833180c053a5,6,e6cf3c90-c382-11ee-ba23-9363285c762e,c7408d7f-0d48-483a-8eb9-8ebc5b5fad01,2024-02-04,12:29:07.40,2024-02-04,17:29:07.40,2024-02-04T12:29:07.4096750-05:00,2024-02-04T17:29:07.4096750Z,CEN_COL,CEN_COL,StrikeSwinging,Undefined,NoShift,92.22045,72.71972,149.92177,39.43067,92.44788,-69.3232,145.03849,-39.30867,254.80879,-133.72464,322.13927,-1.64206,257.63151,134.11433
707488ea-b9ba-4f55-8106-833180c053a5,7,f55f6aa0-c382-11ee-ba23-9363285c762e,48c724ad-0973-4d25-bb6e-a124cdda541c,2024-02-04,12:29:31.91,2024-02-04,17:29:31.91,2024-02-04T12:29:31.9130734-05:00,2024-02-04T17:29:31.9130734Z,CEN_COL,CEN_COL,FoulBall,Undefined,NoShift,91.67758,81.78817,155.63643,81.5807,107.19377,-50.48273,154.58848,-14.68561,226.28348,-119.00407,319.3808,14.56319,257.51029,149.56577
707488ea-b9ba-4f55-8106-833180c053a5,8,00feba50-c383-11ee-ba23-9363285c762e,ff4c0876-ec44-4ff8-b9b5-0e18979ec0ad,2024-02-04,12:29:51.41,2024-02-04,17:29:51.41,2024-02-04T12:29:51.4185838-05:00,2024-02-04T17:29:51.4185838Z,CEN_COL,CEN_COL,StrikeCalled,Undefined,NoShift,91.91718,82.13694,161.33535,75.12107,114.97497,-54.47312,154.33155,-14.6523,206.02497,-122.42603,303.27528,-2.15764,252.00787,149.28157
707488ea-b9ba-4f55-8106-833180c053a5,9,0cebb4d0-c383-11ee-ba23-9363285c762e,5c17cca7-0f0c-44f7-9024-84df21c4dc6e,2024-02-04,12:30:11.35,2024-02-04,17:30:11.35,2024-02-04T12:30:11.3515118-05:00,2024-02-04T17:30:11.3515118Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,95.56401,85.62164,160.17409,77.08304,116.75211,-57.07018,153.61539,-14.38818,229.15838,-119.31945,315.17926,1.38103,253.59231,154.93912
707488ea-b9ba-4f55-8106-833180c053a5,10,157f9940-c383-11ee-ba23-9363285c762e,eab09d0a-5fd0-44d7-9602-6a1d4dfd1e9d,2024-02-04,12:30:25.74,2024-02-04,17:30:25.74,2024-02-04T12:30:25.7437294-05:00,2024-02-04T17:30:25.7437294Z,CEN_COL,CEN_COL,StrikeCalled,Undefined,NoShift,97.4911,87.8633,160.36861,81.17491,116.07846,-52.47513,151.9385,-12.79531,223.32724,-118.89747,317.89168,2.05406,260.68533,159.14901
707488ea-b9ba-4f55-8106-833180c053a5,11,251b9200-c383-11ee-ba23-9363285c762e,26b2396c-b5fe-4dca-8dd3-85c772ff06cd,2024-02-04,12:30:51.94,2024-02-04,17:30:51.94,2024-02-04T12:30:51.9428718-05:00,2024-02-04T17:30:51.9428718Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,94.52721,73.75293,149.21912,41.34086,96.20006,-75.87717,145.81029,-42.61957,266.846,-143.36565,338.74766,-3.50502,280.68985,136.72258
707488ea-b9ba-4f55-8106-833180c053a5,12,2c8fae90-c383-11ee-ba23-9363285c762e,6122e2d3-d6b2-43bf-9e6a-2f8a84580ba2,2024-02-04,12:31:04.43,2024-02-04,17:31:04.43,2024-02-04T12:31:04.4382830-05:00,2024-02-04T17:31:04.4382830Z,CEN_COL,CEN_COL,BallCalled,Undefined,LeftInfieldShift,101.59595,68.60372,,,95.40079,-77.03912,143.49102,-50.61737,264.2755,-142.34876,340.0919,-2.36645,281.47992,137.82285
707488ea-b9ba-4f55-8106-833180c053a5,13,3508df10-c383-11ee-ba23-9363285c762e,a1302137-6161-4c45-9179-ec9ce9efb718,2024-02-04,12:31:18.66,2024-02-04,17:31:18.66,2024-02-04T12:31:18.6623598-05:00,2024-02-04T17:31:18.6623598Z,CEN_COL,CEN_COL,BallCalled,Undefined,NoShift,97.6036,69.59692,152.55459,29.20153,93.70204,-77.10899,146.85945,-49.61312,267.10591,-143.3887,344.92464,-2.69653,287.04999,138.48475
